GradNorm,KL,KLBefore,AverageReturn,LossAfter,TotalEnvSteps,LossBefore,EnvExecTime,MinReturn,StdReturn,PolicyExecTime,NumTrajs,Iteration,Entropy,ProcessExecTime,EvalAvgReturn,AverageDiscountedReturn,dLoss,MaxReturn
0.16552425778815805,0.0011014529736712575,0.0,-140.98947368421054,-0.17202840745449066,7556,-0.17105607688426971,3.466350555419922,-294.0,56.2925525104702,2.9631083011627197,304,0,1.5947675704956055,0.08778119087219238,-88.51999999999984,-71.42194797850952,0.0009723305702209473,-21.599999999999987
0.21943261697704722,0.0010228948667645454,0.0011000883532688022,-132.68947368421053,-0.1712404489517212,15138,-0.16839814186096191,3.52736496925354,-256.5,47.30883298782967,2.9564993381500244,304,1,1.5948739051818848,0.08774518966674805,,-66.8958366378884,0.0028423070907592773,-43.999999999999986
0.18551039603220804,0.0012016722466796637,0.0009569888352416456,-120.19736842105263,-0.17295168340206146,22738,-0.17434482276439667,3.444918394088745,-225.49999999999997,44.23138018505406,2.985736846923828,304,2,1.593788981437683,0.08760690689086914,,-61.62684817940633,-0.001393139362335205,-22.99999999999999
0.19493470633329935,0.0009960212046280503,0.0012059991713613272,-124.69736842105263,-0.17024928331375122,30338,-0.16991688311100006,3.528917074203491,-251.00000000000003,36.650292501468705,2.90614652633667,304,3,1.5918437242507935,0.08622574806213379,,-61.86359396510098,0.00033240020275115967,-67.5
0.19520790270131277,0.0009468405041843653,0.0010156867792829871,-120.11842105263158,-0.16855965554714203,37938,-0.17013554275035858,3.6885581016540527,-251.50000000000003,46.477984914553375,3.0564122200012207,304,4,1.5891934633255005,0.09111571311950684,,-60.102855033944515,-0.0015758872032165527,-30.99999999999998
0.2534361502801783,0.0010552875464782119,0.000957456068135798,-114.77368421052631,-0.1707024872303009,45447,-0.17200914025306702,3.6141409873962402,-227.5,46.27535256319119,3.022691249847412,304,5,1.5865098237991333,0.08833599090576172,,-54.35377006816257,-0.0013066530227661133,-20.999999999999986
0.265978435740923,0.0011363276280462742,0.0010901986388489604,-124.55263157894737,-0.17088398337364197,53047,-0.16732685267925262,3.8054375648498535,-224.0,32.01064573611744,3.0010874271392822,304,6,1.5828050374984741,0.0900716781616211,,-64.13908416288534,0.0035571306943893433,-50.499999999999986
0.19752851235046878,0.0010630273027345538,0.0010579070076346397,-104.63157894736841,-0.1701669842004776,60647,-0.16970039904117584,4.103923797607422,-185.5,34.85056146389941,14.60701870918274,304,7,1.58456289768219,0.1002199649810791,,-50.71808405456568,0.0004665851593017578,-47.499999999999986
0.21891395472723577,0.0010159247322008014,0.001142572145909071,-106.81578947368419,-0.17030803859233856,68247,-0.169778972864151,3.892812967300415,-177.5,36.523320065230344,3.1100006103515625,304,8,1.5797581672668457,0.0926201343536377,,-53.5778084005942,0.000529065728187561,-28.999999999999996
0.1891250450176555,0.0009919647127389908,0.0009424324962310493,-90.1578947368421,-0.16944845020771027,75847,-0.17039021849632263,4.005313396453857,-172.49999999999997,36.11442073523471,3.176462411880493,304,9,1.5792322158813477,0.09414029121398926,,-45.1391291818444,-0.0009417682886123657,-37.499999999999986
0.23505670018871516,0.0011081821285188198,0.0009752499172464013,-89.46052631578948,-0.170397087931633,83447,-0.17227762937545776,4.566592454910278,-173.50000000000003,31.783267192143764,3.570781946182251,304,10,1.5792262554168701,0.10832786560058594,,-45.6433979908738,-0.001880541443824768,-28.000000000000007
0.24574406498981471,0.001194869983009994,0.001187087851576507,-103.05263157894737,-0.16932089626789093,91047,-0.16980943083763123,4.303787708282471,-189.49999999999997,37.89646377643965,3.3206043243408203,304,11,1.5721734762191772,0.09868311882019043,,-51.1030161026301,-0.0004885345697402954,-21.499999999999986
0.25346596530623106,0.0012895463733002543,0.0011557006509974599,-94.68421052631577,-0.16961748898029327,98647,-0.16850672662258148,4.001373052597046,-187.99999999999997,38.100010542309555,3.0692970752716064,304,12,1.5709903240203857,0.08938789367675781,,-45.42393059594557,0.001110762357711792,-21.499999999999993
0.21215739163032366,0.001121737528592348,0.0012999001191928983,-91.03947368421052,-0.16854524612426758,106247,-0.16940702497959137,4.081378221511841,-187.99999999999997,30.401346399146306,3.038127899169922,304,13,1.5684345960617065,0.09036421775817871,,-46.50197347305042,-0.0008617788553237915,-37.50000000000001
0.26615422583807447,0.001204368774779141,0.0011175634572282434,-87.18421052631578,-0.16968631744384766,113847,-0.17079684138298035,4.905610084533691,-163.49999999999997,28.232917763301806,3.680415391921997,304,14,1.5635074377059937,0.11399626731872559,,-43.088903550451754,-0.0011105239391326904,-34.99999999999999
0.25870921033543015,0.001206511864438653,0.0012190283741801977,-84.96052631578948,-0.1690252423286438,121447,-0.17146936058998108,4.599736452102661,-132.99999999999997,25.469119996717634,3.3392043113708496,304,15,1.5578532218933105,0.10017991065979004,,-41.15257863790307,-0.0024441182613372803,-30.5
0.26132671056152235,0.0014213582035154104,0.0012301135575398803,-80.22368421052632,-0.16914395987987518,129047,-0.16890935599803925,4.328789949417114,-134.0,21.897397516726503,3.161227226257324,304,16,1.555877447128296,0.09318852424621582,,-38.02326174660532,0.0002346038818359375,-29.999999999999996
0.27389593069000623,0.0011770036071538925,0.0013214389327913523,-68.73684210526316,-0.16812878847122192,136647,-0.1671925038099289,4.188493251800537,-132.5,23.16182681928712,3.0698962211608887,304,17,1.556090235710144,0.0923466682434082,,-34.47040367688199,0.0009362846612930298,-30.49999999999999
