Iteration,EnvExecTime,GradNorm,TotalEnvSteps,LossAfter,Entropy,ProcessExecTime,AverageDiscountedReturn,KL,PolicyExecTime,StdReturn,KLBefore,AverageReturn,dLoss,EvalAvgReturn,NumTrajs,MinReturn,MaxReturn,LossBefore
10,3.8245303630828857,0.35631314562078853,55752,-0.17287549376487732,1.5812828540802002,0.082855224609375,-75.94492047238468,0.0007663886644877493,2.8361904621124268,39.694332089103106,0.0008014412014745176,-135.4,-0.0022136718034744263,,300,-231.0,-68.5,-0.17508916556835175
11,3.8280017375946045,0.40146499950878983,60752,-0.17398110032081604,1.5800508260726929,0.08285760879516602,-68.19023933539334,0.0008166033658199012,2.9072515964508057,44.35801618647976,0.000738576811272651,-123.92,-0.002252534031867981,,300,-193.0,-35.99999999999998,-0.17623363435268402
12,3.8297500610351562,0.29006749701017365,65752,-0.17239810526371002,1.5779402256011963,0.08167266845703125,-71.38631918804163,0.0007644449942745268,2.821824789047241,46.26856384198671,0.0008422094397246838,-131.0,-0.007318466901779175,,300,-260.0,-55.5,-0.1797165721654892
13,3.9641778469085693,0.2953294902930021,70752,-0.17309941351413727,1.5756701231002808,0.0842447280883789,-74.63385144407982,0.0008461357210762799,2.9271533489227295,52.41106753348954,0.0007723859162069857,-129.8,-0.004106968641281128,,300,-226.0,-39.499999999999986,-0.1772063821554184
14,4.048197507858276,0.33444573425939195,75752,-0.17390359938144684,1.573838472366333,0.08367919921875,-67.73048339667223,0.0008567750919610262,2.9249355792999268,45.221304713597114,0.0008279128815047443,-120.44,-0.0003803819417953491,,300,-223.5,-49.0,-0.1742839813232422
15,3.360752582550049,0.29190161977574286,80752,-0.17230413854122162,1.575168251991272,0.07134342193603516,-53.557363827289265,0.0007528492133133113,2.4519400596618652,43.17186120611434,0.0007841589394956827,-95.48,-0.006820648908615112,,300,-179.5,6.500000000000014,-0.17912478744983673
16,3.011547565460205,0.26438306002739337,85924,-0.17260697484016418,1.572246789932251,0.06587934494018555,-60.165008934642884,0.0008672206895425916,2.255995035171509,42.48514272155628,0.0007502033840864897,-102.37307692307692,0.001620367169380188,,312,-182.0,-17.19999999999997,-0.170986607670784
17,2.918336868286133,0.3355753334558576,90924,-0.17420445382595062,1.5679572820663452,0.062244415283203125,-61.56583880845431,0.0008578995475545526,2.1032159328460693,40.465016989987795,0.0008607161580584943,-102.32,-0.0035545378923416138,,300,-200.00000000000006,-35.49999999999997,-0.17775899171829224
18,3.06951642036438,0.28215513132931974,95924,-0.17479364573955536,1.5671852827072144,0.06566405296325684,-49.51467031389707,0.0008850235026329756,2.244210720062256,38.23791835338321,0.0008128710906021297,-89.96,-0.003259822726249695,,300,-175.50000000000003,-13.49999999999999,-0.17805346846580505
19,2.882398843765259,0.3965383530125745,100924,-0.17243409156799316,1.5621297359466553,0.06231856346130371,-59.83818564469731,0.0009124426287598908,2.102025270462036,47.693211256949354,0.0009312642505392432,-102.26,0.0013003945350646973,,300,-203.5,-14.499999999999988,-0.17113369703292847
20,2.9454543590545654,0.29278748611981154,105924,-0.17310433089733124,1.5655148029327393,0.06302022933959961,-54.79413087313027,0.0008225339115597308,2.158534526824951,43.80981625161192,0.0008717483142390847,-91.6,-0.004527583718299866,-85.3699999999998,300,-197.50000000000003,-24.49999999999998,-0.1776319146156311
21,3.153377056121826,0.24208801074789638,110924,-0.1752455234527588,1.567095398902893,0.06600618362426758,-55.5202937329651,0.00092183833476156,2.243945837020874,33.25257283278995,0.0007859975448809564,-89.42,-0.004269927740097046,,300,-141.0,-9.999999999999993,-0.17951545119285583
22,3.221947431564331,0.28780730536701743,115924,-0.1735050529241562,1.563745379447937,0.06773662567138672,-49.48870985288275,0.0008277939050458372,2.357635974884033,30.704097446432133,0.0009654623572714627,-85.72,-0.0028356313705444336,,300,-156.0,-27.99999999999998,-0.17634068429470062
23,3.137669563293457,0.29905101319406724,120924,-0.17202910780906677,1.5611615180969238,0.06747746467590332,-45.87580271686984,0.000781866954639554,2.2943971157073975,30.195191670198092,0.0008137785480357707,-77.52,-0.006072252988815308,,300,-155.0,-19.499999999999986,-0.17810136079788208
24,3.1720833778381348,0.34250118727067136,125924,-0.1730387657880783,1.5590072870254517,0.06753110885620117,-59.834148317453455,0.0009551600087434053,2.3096368312835693,34.80910225788652,0.000833281606901437,-96.08,-0.001982569694519043,,300,-168.5,-25.99999999999998,-0.17502133548259735
25,3.4590201377868652,0.329506292003356,130924,-0.17175889015197754,1.5597314834594727,0.07012271881103516,-53.34515583306798,0.000772576779127121,2.4386227130889893,37.56118209002481,0.0009727405267767608,-93.26,-0.0013942718505859375,,300,-174.0,-39.49999999999997,-0.17315316200256348
26,3.3403737545013428,0.31807394719763865,135924,-0.1713549643754959,1.5599764585494995,0.07165265083312988,-50.44579880467886,0.000791497528553009,2.455564022064209,44.68601570961547,0.0007605329155921936,-85.6,-0.0011696070432662964,,300,-179.5,-14.49999999999999,-0.1725245714187622
27,3.4063544273376465,0.3027406275467993,140924,-0.17141816020011902,1.559173345565796,0.07021594047546387,-54.52744241685936,0.0008129070047289133,2.4136219024658203,35.83175128290551,0.0007959022768773139,-88.84,0.0022406578063964844,,300,-148.50000000000003,-26.499999999999986,-0.16917750239372253
28,3.5111048221588135,0.34895852519636067,145924,-0.17313776910305023,1.5584474802017212,0.07184934616088867,-53.60130263111279,0.0008665163768455386,2.4940261840820312,40.73085317053892,0.0007968399440869689,-90.74,-0.002208501100540161,,300,-175.50000000000003,-28.99999999999998,-0.1753462702035904
29,3.399000644683838,0.2951090497465195,150924,-0.1709219515323639,1.5571999549865723,0.07090950012207031,-50.51850079822027,0.0007720956928096712,2.4251747131347656,34.73490463496338,0.0008639803854748607,-86.92,-0.0015426427125930786,,300,-183.00000000000003,-32.499999999999986,-0.17246459424495697
30,3.553375720977783,0.258700735829317,155924,-0.16785791516304016,1.556854009628296,0.0717167854309082,-53.74206085764251,0.0006209227722138166,2.416285276412964,33.937684069482415,0.0007561433594673872,-89.06,-0.005070850253105164,,300,-156.0,-18.499999999999964,-0.17292876541614532
31,3.5226352214813232,0.2638006992807263,160924,-0.16999737918376923,1.5575339794158936,0.07272601127624512,-44.52820317403774,0.0007018068572506309,2.5265655517578125,29.80536864392052,0.0006137651507742703,-77.0,-0.0013153702020645142,,300,-132.5,-31.49999999999998,-0.17131274938583374
