KLBefore,KL,AverageReturn,PolicyExecTime,TotalEnvSteps,AverageDiscountedReturn,NumTrajs,MaxReturn,EnvExecTime,MinReturn,LossAfter,dLoss,Entropy,ProcessExecTime,Iteration,LossBefore,GradNorm,StdReturn
0.0,0.0009874121751636267,94.34642857142858,4.2827842235565186,5083,63.970686887349906,336,106.50000000000003,5.418946266174316,70.0,-0.18493640422821045,-0.0034721791744232178,1.5796042680740356,0.12172698974609375,0,-0.18840858340263367,0.4397061604656322,10.77021296191018
0.0009760165121406317,0.0010326872579753399,92.50357142857145,5.125752210617065,10182,64.9739283082518,336,111.9,6.526711702346802,70.0,-0.1817963868379593,-0.00620269775390625,1.5787485837936401,0.13031244277954102,1,-0.18799908459186554,0.5811620171426396,11.090809649140564
0.0009178256150335073,0.0008566065807826817,98.84193548387097,5.4170472621917725,15241,67.81730555691185,372,112.50000000000003,6.933775186538696,70.00000000000003,-0.18130680918693542,-0.0046035051345825195,1.5810418128967285,0.13634133338928223,2,-0.18591031432151794,0.40600334105623115,9.794987993983929
0.000894205120857805,0.0008960844716057181,98.5225806451613,4.677951335906982,20399,65.71000707637486,372,111.80000000000003,6.109867811203003,79.99999999999999,-0.18193066120147705,0.0007818490266799927,1.5809001922607422,0.12005424499511719,3,-0.18114881217479706,0.4164367633841904,9.55998750429132
0.0009247150737792253,0.0010413520503789186,97.23103448275863,4.728630065917969,25502,68.82196010450954,348,109.30000000000003,5.86376690864563,80.0,-0.18145602941513062,-0.004011929035186768,1.5792872905731201,0.12120962142944336,4,-0.18546795845031738,0.4244296722207172,8.481098800325341
0.0009124709758907557,0.0008234846754930913,99.85151515151516,4.739724159240723,30551,70.38656542292851,396,116.50000000000004,6.157090187072754,70.00000000000003,-0.18060214817523956,0.0008417516946792603,1.582471251487732,0.12334847450256348,5,-0.1797603964805603,0.44761732947672933,11.350160089970199
0.0007446311064995825,0.0007833230192773044,102.56857142857145,4.5464606285095215,35552,74.20178918043838,420,114.20000000000003,5.799670934677124,70.0,-0.1820550560951233,0.0017268061637878418,1.584470510482788,0.11705541610717773,6,-0.18032824993133545,0.48236008868927777,9.869600409585894
0.0008234603446908295,0.0008022990659810603,100.99705882352943,4.186072587966919,40613,73.85936320409543,408,115.30000000000007,5.351110935211182,80.0,-0.18263031542301178,0.002536386251449585,1.5819953680038452,0.10759544372558594,7,-0.1800939291715622,0.432669320923649,10.527568438715281
0.0006943808402866125,0.0005962161812931299,105.29250000000002,4.317952632904053,45696,77.61912308348292,480,115.80000000000003,5.500186443328857,80.0,-0.17947109043598175,-0.0029129385948181152,1.5854814052581787,0.11008071899414062,8,-0.18238402903079987,0.4805765690520641,8.485999867428713
0.0006830920465290546,0.0007950004655867815,102.23142857142858,4.329761743545532,50815,75.55741386871374,420,114.30000000000004,5.3636908531188965,79.99999999999999,-0.1824929565191269,-0.0022793710231781006,1.5807151794433594,0.10987496376037598,9,-0.184772327542305,0.42752428927142083,9.165487172106074
0.0006895554251968861,0.0006632540607824922,106.545,4.326272964477539,55897,79.62012832073094,480,115.20000000000002,5.41050386428833,89.99999999999999,-0.18188564479351044,-0.0019006282091140747,1.5841881036758423,0.10870146751403809,10,-0.1837862730026245,0.43711289734181047,6.073300173711161
0.0005955471424385905,0.0005812984891235828,107.8818181818182,4.3028364181518555,60929,82.4267838986001,528,116.20000000000003,5.385480642318726,89.99999999999997,-0.18061566352844238,-0.0018314123153686523,1.5868562459945679,0.11036491394042969,11,-0.18244707584381104,0.42827533932576933,6.063200202386112
0.0006200121715664864,0.0005975042004138231,106.11707317073171,4.27048659324646,66021,81.9969562164767,492,116.90000000000005,5.235054016113281,89.99999999999997,-0.17932100594043732,0.00037892162799835205,1.5850149393081665,0.10891246795654297,12,-0.17894208431243896,0.37454606163673426,7.746498892545403
0.0005395236657932401,0.0005776230827905238,108.29782608695653,4.117637395858765,71104,83.21454806309403,552,116.10000000000005,5.227081775665283,89.99999999999999,-0.17853541672229767,0.00014059245586395264,1.5864635705947876,0.10636186599731445,13,-0.17839482426643372,0.4923776411572103,6.08949520041204
0.0005255905562080443,0.00050673185614869,109.51000000000002,4.93381667137146,76149,85.3852096435475,600,116.70000000000002,6.217200040817261,89.99999999999997,-0.17862291634082794,-0.0009183138608932495,1.5873422622680664,0.1314404010772705,14,-0.1795412302017212,0.4110960299361392,5.819664938808773
0.0005548576009459794,0.000530325633008033,107.97333333333336,4.162058115005493,81161,84.61134461363456,540,116.60000000000002,5.107408761978149,89.99999999999997,-0.17795111238956451,-0.003334552049636841,1.5845696926116943,0.10651588439941406,15,-0.18128566443920135,0.5178465798171091,6.735392424433138
0.0005124244489707053,0.0005142550799064338,109.0021276595745,4.1056108474731445,86230,83.57428212329964,564,116.60000000000002,5.247004985809326,89.99999999999997,-0.17974922060966492,0.0007540881633758545,1.584442377090454,0.10622906684875488,16,-0.17899513244628906,0.42457868552759476,4.5132659949475515
0.0004779344308190048,0.0004973128088749945,109.86274509803926,4.112940788269043,91300,86.22832710081842,612,116.50000000000003,5.2380640506744385,90.00000000000001,-0.17898645997047424,0.000903010368347168,1.5862172842025757,0.10686707496643066,17,-0.17808344960212708,0.41158323905321936,4.630036665433688
0.0005248532397672534,0.0006148418178781867,108.45957446808514,4.242548227310181,96324,85.48876281777638,564,117.10000000000005,5.220181703567505,79.99999999999999,-0.1787227988243103,0.002382636070251465,1.5841927528381348,0.11031866073608398,18,-0.17634016275405884,0.37324572469574974,6.9236769094594734
