KL,MinReturn,LossAfter,PolicyExecTime,StdReturn,Entropy,dLoss,Iteration,AverageReturn,KLBefore,LossBefore,ProcessExecTime,GradNorm,AverageDiscountedReturn,NumTrajs,MaxReturn,EnvExecTime,TotalEnvSteps
0.0011631074594333768,-310.00000000000006,-0.1775316298007965,7.067505598068237,63.62268026252104,1.5888949632644653,0.0017304569482803345,0,-143.7384615384615,0.0,-0.17580117285251617,0.14293789863586426,0.3961158920441446,-75.75377076741005,312,-39.99999999999998,4.878692388534546,7598
0.0014056686777621508,-255.0,-0.1790987253189087,6.894178628921509,42.94171249199492,1.586915373802185,-0.0034788399934768677,1,-146.4657894736842,0.001235369360074401,-0.18257756531238556,0.1340014934539795,0.2967245746314793,-76.20862658674655,304,-75.0,4.876622915267944,15180
0.001174668432213366,-251.5,-0.1766050159931183,6.767561912536621,46.07022972030848,1.585391879081726,9.492039680480957e-06,2,-149.18421052631578,0.0014476056676357985,-0.1765955239534378,0.13321352005004883,0.3351394978030607,-76.14355009922484,304,-41.49999999999998,4.891347885131836,22780
0.0014341050991788507,-206.0,-0.17876754701137543,6.686115026473999,35.40711346905486,1.5849324464797974,-0.0009101331233978271,3,-121.49999999999997,0.0011380615178495646,-0.17967768013477325,0.12766122817993164,0.30518304849456407,-62.78692776445826,304,-45.09999999999999,4.73323392868042,30325
0.001282879151403904,-214.5,-0.17633071541786194,6.778351068496704,50.82262356867936,1.5828591585159302,0.0010284334421157837,4,-124.87948717948719,0.0014419391518458724,-0.17530228197574615,0.13102960586547852,0.3988730300440827,-65.07944598036303,312,-41.29999999999998,4.80420184135437,37983
0.0013457193272188306,-260.0,-0.17792239785194397,6.760250806808472,53.71790557627303,1.5807968378067017,-0.0002500265836715698,5,-123.06315789473683,0.0013228753814473748,-0.17817242443561554,0.12828803062438965,0.35287101109196367,-60.991272338374266,304,-13.999999999999982,4.958414077758789,45577
0.0011713813291862607,-197.5,-0.17531520128250122,6.6358323097229,39.76596458101038,1.5792317390441895,0.000368654727935791,6,-123.82631578947365,0.0013371109962463379,-0.17494654655456543,0.1283736228942871,0.3368780044791849,-62.61782510191981,304,-60.99999999999998,4.742331027984619,53121
0.0013188866432756186,-211.5,-0.17710652947425842,6.827619552612305,41.835227835983424,1.5771681070327759,-0.000566437840461731,7,-114.39473684210525,0.0011957432143390179,-0.17767296731472015,0.13067078590393066,0.4090919463542971,-55.6117180899895,304,0.9999999999999964,4.990104913711548,60721
0.0014734371798112988,-194.5,-0.17868876457214355,6.788913011550903,33.220639568674784,1.573170781135559,-4.3198466300964355e-05,8,-123.25526315789473,0.0014005551347509027,-0.17873196303844452,0.12946629524230957,0.4336919800107744,-62.61225062800075,304,-63.49999999999997,5.130338430404663,68318
0.0013370841043069959,-194.0,-0.17618787288665771,6.694821357727051,36.265719201425966,1.5720007419586182,-0.0006237179040908813,9,-105.03947368421052,0.0014398745261132717,-0.1768115907907486,0.1296393871307373,0.4275663024951052,-51.51890462622083,304,-50.99999999999999,4.943292856216431,75918
0.0012544733472168446,-194.99999999999994,-0.17715446650981903,6.8761374950408936,32.65886221477159,1.569777011871338,0.002203330397605896,10,-113.72368421052629,0.0013930094428360462,-0.17495113611221313,0.13104557991027832,0.3054197447539355,-57.56289972642809,304,-41.99999999999997,5.313243389129639,83518
0.0010951583972200751,-203.5,-0.17573127150535583,6.856121301651001,43.608852248824824,1.568081021308899,-0.0008768588304519653,11,-107.21052631578947,0.0012528557563200593,-0.1766081303358078,0.13007140159606934,0.3311699013969817,-54.333011931551795,304,0.5000000000000142,5.171809673309326,91118
0.0013007581001147628,-186.99999999999997,-0.17595958709716797,7.442111015319824,38.633383006778956,1.5668933391571045,0.0016392767429351807,12,-105.34736842105262,0.0010913403239101171,-0.1743203103542328,0.14253687858581543,0.3596972031011543,-53.523970314497824,304,-48.99999999999998,5.610979080200195,98675
0.0014059260720387101,-209.99999999999994,-0.17807529866695404,7.132416486740112,39.69882287166865,1.5663642883300781,0.0003603696823120117,13,-103.76315789473684,0.0013355911942198873,-0.17771492898464203,0.13421392440795898,0.40313170937384885,-52.2269209767058,304,-6.999999999999991,5.448965787887573,106275
0.0013422067277133465,-206.49999999999997,-0.1754939705133438,7.228209495544434,38.61421316625205,1.5644680261611938,0.0015709996223449707,14,-107.71315789473681,0.0014058862579986453,-0.17392297089099884,0.1385200023651123,0.5241955808888084,-57.93416073030907,304,-31.99999999999999,5.452037572860718,113871
0.0015118756564334035,-216.0,-0.17658071219921112,6.9970784187316895,43.202995128678786,1.5647592544555664,-0.001564115285873413,15,-99.14473684210526,0.001382743357680738,-0.17814482748508453,0.13455867767333984,0.39380624524799374,-50.17581602749008,304,-19.000000000000007,5.29156494140625,121471
0.0013043591752648354,-169.49999999999997,-0.17656616866588593,7.026294469833374,28.852428041295177,1.5636600255966187,0.0028154104948043823,16,-97.10526315789471,0.001511279959231615,-0.17375075817108154,0.13322782516479492,0.486333070657177,-51.621957688633024,304,-43.499999999999986,5.370124340057373,129071
0.0013035814044997096,-145.5,-0.17675034701824188,6.94931960105896,26.03942049408147,1.5600154399871826,-0.0024881362915039062,17,-87.64473684210526,0.0013123751850798726,-0.1792384833097458,0.13533902168273926,0.4350077395995416,-46.270402608275965,304,-40.99999999999999,5.34829306602478,136671
0.001166789443232119,-183.99999999999997,-0.17348559200763702,6.91373085975647,37.588125906212376,1.5588724613189697,-0.0025599151849746704,18,-91.35526315789473,0.0013372572138905525,-0.1760455071926117,0.13078999519348145,0.34299615205359246,-46.19071439781659,304,-20.999999999999986,5.291990280151367,144271
