MinReturn,dLoss,LossAfter,PolicyExecTime,LossBefore,KLBefore,MaxReturn,KL,AverageDiscountedReturn,Entropy,TotalEnvSteps,EnvExecTime,GradNorm,StdReturn,AverageReturn,Iteration,NumTrajs,ProcessExecTime
-240.0,-0.0023458898067474365,-0.17795947194099426,4.957661151885986,-0.1803053617477417,0.0,-13.500000000000012,0.0013741453876718879,-66.9965402632304,1.5833115577697754,7502,5.78629994392395,0.3219903912960726,59.89591809259729,-137.72894736842105,0,304,0.13858485221862793
-236.0,0.0037232786417007446,-0.17584162950515747,5.872176885604858,-0.17211835086345673,0.0013632726622745395,-45.999999999999986,0.0013761860318481922,-70.56174590184624,1.5814235210418701,15184,6.884890794754028,0.30465503136865196,48.48083946129435,-134.29999999999998,1,312,0.1505415439605713
-225.5,0.002428680658340454,-0.1743050068616867,5.804884433746338,-0.17187632620334625,0.0013148768339306116,17.4,0.0012722043320536613,-61.44448509824794,1.5825120210647583,22754,6.751492261886597,0.26726214841454077,52.262614940768835,-115.91025641025641,2,312,0.14943981170654297
-263.0,-0.0009652078151702881,-0.1754961460828781,5.642194509506226,-0.1764613538980484,0.0013105124235153198,-27.99999999999999,0.0014079516986384988,-64.59751092214667,1.577946424484253,30256,6.609131813049316,0.2926925572333778,53.41490086435648,-127.26842105263158,3,304,0.14682817459106445
-238.0,0.000613093376159668,-0.173505961894989,5.936624050140381,-0.17289286851882935,0.001473455224186182,-79.99999999999999,0.0013371511595323682,-78.40428996905973,1.5736193656921387,37856,7.266952276229858,0.27141972983559165,42.88446963012442,-146.85526315789474,4,304,0.1520857810974121
-200.5,0.001154199242591858,-0.17659112811088562,5.798929929733276,-0.17543692886829376,0.001313434331677854,-58.49999999999998,0.0015594738069921732,-65.45467368708175,1.5690765380859375,45456,7.201374530792236,0.3065184446663703,36.1219464294273,-125.3157894736842,5,304,0.14911866188049316
-188.5,0.0006526410579681396,-0.1741757094860077,5.878046989440918,-0.17352306842803955,0.0015624449588358402,-36.999999999999986,0.0014070261968299747,-53.448928482298825,1.5676460266113281,53056,6.908854961395264,0.3427799749985014,36.425264055265885,-102.55263157894736,6,304,0.15035700798034668
-200.50000000000003,0.0033535361289978027,-0.17634834349155426,5.893472909927368,-0.17299480736255646,0.0014158240519464016,-17.999999999999975,0.001587686943821609,-52.60507675514339,1.5638729333877563,60616,6.742475509643555,0.30561403373111623,41.876938496496315,-95.92105263157893,7,304,0.15163040161132812
-185.0,0.002725556492805481,-0.1741456389427185,5.916242837905884,-0.17142008244991302,0.001564231002703309,-21.999999999999975,0.001329979277215898,-49.54965179361283,1.5594618320465088,68247,7.301004648208618,0.3095600808971693,35.83800006307146,-93.70769230769231,8,312,0.15182161331176758
-231.0,0.000537872314453125,-0.1731155514717102,5.991425037384033,-0.17257767915725708,0.0013475798768922687,-21.49999999999998,0.0012566386722028255,-53.33094191599452,1.5544328689575195,75847,7.2898173332214355,0.30237194526362204,42.294926448973754,-93.1842105263158,9,304,0.15338587760925293
-198.5,-0.0023743361234664917,-0.17463381588459015,6.026000022888184,-0.17700815200805664,0.0012654871679842472,-19.999999999999986,0.0013050513807684183,-42.1433014936477,1.5526952743530273,83442,7.226964473724365,0.3275399476774243,37.85891947657141,-78.78947368421052,10,304,0.1545393466949463
-159.50000000000003,-0.000941932201385498,-0.17388877272605896,5.950003385543823,-0.17483070492744446,0.0013062116922810674,-8.999999999999982,0.001396605628542602,-39.23126530568092,1.5485323667526245,91042,7.220853090286255,0.2943070081212016,30.02676553009741,-68.34210526315788,11,304,0.1532142162322998
-161.5,0.0005598962306976318,-0.17270030081272125,5.837088584899902,-0.17214040458202362,0.001424468937329948,-2.4999999999999876,0.0011753978906199336,-43.94246053182563,1.5456212759017944,98642,7.1761391162872314,0.2891799149785191,30.095669247903828,-77.9736842105263,12,304,0.15167546272277832
-134.99999999999997,-0.0008751600980758667,-0.17218898236751556,5.809960126876831,-0.17306414246559143,0.0011576177785173059,-22.499999999999996,0.001260883640497923,-42.17279079879574,1.5428094863891602,106242,7.185014486312866,0.2550445238251165,27.53702179343433,-73.09210526315788,13,304,0.15210390090942383
-128.5,0.002876490354537964,-0.17385201156139374,5.705614805221558,-0.17097552120685577,0.0012608986580744386,5.499999999999996,0.001286033308133483,-37.92171827627799,1.541815996170044,113842,6.867889881134033,0.27963837893847604,35.38048040024048,-66.10526315789473,14,304,0.14887070655822754
-121.49999999999999,-0.005140587687492371,-0.17165836691856384,5.997469425201416,-0.1767989546060562,0.0013199017848819494,-7.999999999999989,0.0011633164249360561,-36.67155434902115,1.5356721878051758,121442,7.377658367156982,0.31003455707396527,26.00054602026274,-64.10526315789473,15,304,0.15480947494506836
-124.99999999999997,0.004052698612213135,-0.17171762883663177,6.094221591949463,-0.16766493022441864,0.0011129111517220736,39.49999999999999,0.0013943985104560852,-33.82375295130184,1.531516671180725,129087,7.464876413345337,0.32131813535243126,31.180794507005427,-62.25641025641024,16,312,0.15461015701293945
-137.00000000000003,-0.000695839524269104,-0.17081016302108765,5.794872760772705,-0.17150600254535675,0.0014478099765256047,-14.499999999999979,0.0013543199747800827,-37.84506843833676,1.527862787246704,136687,7.292825698852539,0.2530336916142004,27.04131764745948,-66.2236842105263,17,304,0.15183687210083008
-129.5,0.0013218820095062256,-0.17134860157966614,5.731651306152344,-0.1700267195701599,0.0013335198163986206,-8.999999999999977,0.0013723428128287196,-35.537353679244895,1.5263044834136963,144287,7.204422950744629,0.31939590575933646,29.547877130790432,-61.59210526315788,18,304,0.14921307563781738
