MinReturn,ProcessExecTime,NumTrajs,AverageReturn,Iteration,TotalEnvSteps,EnvExecTime,dLoss,LossBefore,KLBefore,KL,LossAfter,GradNorm,MaxReturn,StdReturn,Entropy,PolicyExecTime,AverageDiscountedReturn
-193.5,0.15250515937805176,304,-93.59736842105262,0,7572,6.113567352294922,-0.0004753023386001587,-0.1754876971244812,0.0,0.0012647985713556409,-0.17501239478588104,0.2529469588798007,-22.699999999999992,36.78262237612031,1.5480563640594482,5.660135746002197,-51.28965125921687
-186.99999999999997,0.14168071746826172,304,-101.24999999999999,1,15172,6.221424341201782,3.8370490074157715e-05,-0.17320995032787323,0.0013457328313961625,0.0011867795838043094,-0.1732483208179474,0.2898802090788675,-13.499999999999993,34.53883207424119,1.5435328483581543,5.61798095703125,-57.48282024486342
-159.0,0.14595627784729004,304,-86.51315789473684,2,22772,6.390850782394409,-0.00038133561611175537,-0.174575075507164,0.0011686226353049278,0.0012824574951082468,-0.17419373989105225,0.34071263915382793,-22.499999999999986,34.95814919715943,1.5376274585723877,5.66230320930481,-49.07327773810658
-164.0,0.1477203369140625,304,-83.47368421052632,3,30372,6.251873970031738,0.0032224059104919434,-0.16938963532447815,0.0012796683004125953,0.0013323304010555148,-0.1726120412349701,0.27833260810793536,-8.999999999999988,32.37566243346289,1.536928415298462,5.610965728759766,-48.630473075848634
-150.99999999999997,0.14033722877502441,304,-76.93684210526315,4,37888,6.279997110366821,0.0007676929235458374,-0.17135043442249298,0.0013243785360828042,0.0012051521334797144,-0.17211812734603882,0.31877998940725205,-0.5999999999999979,31.708295619290737,1.5395780801773071,5.437510967254639,-43.049057849312874
-125.99999999999994,0.142012357711792,304,-75.0657894736842,5,45488,5.9718852043151855,0.00395616888999939,-0.1675243079662323,0.0012077032588422298,0.0010482065845280886,-0.1714804768562317,0.3175908593063315,-25.999999999999986,26.440641328273706,1.5346102714538574,5.415347337722778,-43.118156162174465
-157.5,0.1398148536682129,304,-73.02631578947367,6,53088,6.290719509124756,-0.001649215817451477,-0.17154142260551453,0.0010105377295985818,0.0012268921127542853,-0.16989220678806305,0.3224452766289701,-0.49999999999998934,36.821751896703425,1.5285961627960205,5.50872802734375,-41.94398767551716
-127.49999999999999,0.1427450180053711,304,-66.19999999999999,7,60634,6.187932252883911,0.0001224130392074585,-0.16991738975048065,0.0012208037078380585,0.0011841391678899527,-0.1700398027896881,0.2645155853706814,-6.600000000000003,28.845249540481213,1.5282318592071533,5.586481094360352,-40.38788011651102
-125.5,0.14077186584472656,304,-57.5657894736842,8,68234,6.0323381423950195,-0.00564497709274292,-0.17365196347236633,0.0011816297192126513,0.0010369281517341733,-0.1680069863796234,0.2940416818644846,-4.000000000000014,27.876412178680358,1.5247244834899902,5.503485679626465,-31.51898271484289
-129.00000000000003,0.1407918930053711,304,-58.46052631578946,9,75834,5.966783761978149,0.0016040951013565063,-0.16777753829956055,0.0010434192372485995,0.0010622608242556453,-0.16938163340091705,0.2690101688293703,-1.4999999999999947,32.58680342742639,1.5236066579818726,5.5200035572052,-34.31785638296815
-132.50000000000003,0.14266419410705566,304,-67.9736842105263,10,83434,6.309552907943726,-0.0003592371940612793,-0.17128430306911469,0.0010611644247546792,0.001099128508940339,-0.1709250658750534,0.28242835219875423,-24.99999999999998,25.15633941459652,1.5204929113388062,5.565501689910889,-40.81755941594761
-129.49999999999997,0.1397998332977295,304,-60.51315789473683,11,91034,6.149339437484741,-0.00023600459098815918,-0.17116740345954895,0.0010816312860697508,0.0012109879171475768,-0.1709313988685608,0.314113722571061,-5.499999999999984,27.194108989115847,1.516963005065918,5.460066795349121,-34.92638478606816
-136.0,0.13884758949279785,304,-55.48684210526314,12,98634,5.8865625858306885,-0.0008511543273925781,-0.17113935947418213,0.0012206161627545953,0.00124869414139539,-0.17028820514678955,0.3075942025696547,-4.499999999999994,26.3130163012492,1.5161278247833252,5.427096843719482,-30.565413453759955
-155.99999999999997,0.14268183708190918,304,-59.13157894736841,13,106234,6.282925844192505,0.0021444112062454224,-0.1662897914648056,0.0012759956298395991,0.0011222610482946038,-0.16843420267105103,0.3111128902280461,-9.999999999999993,26.937716713141292,1.5110247135162354,5.44730806350708,-33.94069557350402
-134.00000000000003,0.14534235000610352,304,-55.88157894736841,14,113834,6.059982538223267,-0.0016425251960754395,-0.1694377064704895,0.0011093933135271072,0.0010912527795881033,-0.16779518127441406,0.3270633093506018,-17.999999999999993,24.9210422108576,1.5090162754058838,5.505255699157715,-31.189050032208563
-122.5,0.13537979125976562,304,-58.98684210526314,15,121434,5.935702562332153,-0.0008060187101364136,-0.1700841337442398,0.0010999388759955764,0.0012977803125977516,-0.1692781150341034,0.3347554837722303,-20.999999999999982,23.885000479850063,1.5032559633255005,5.372788190841675,-33.88893117851234
-105.99999999999997,0.1347980499267578,312,-46.497435897435885,16,128948,5.713078260421753,0.0018299221992492676,-0.1672528237104416,0.001246076775714755,0.0012386786984279752,-0.16908274590969086,0.31341045908915777,7.400000000000009,23.36645071606733,1.5068625211715698,5.249392032623291,-26.65680000826479
