Iteration,MaxReturn,KLBefore,ProcessExecTime,LossBefore,KL,EnvExecTime,Entropy,dLoss,AverageDiscountedReturn,PolicyExecTime,AverageReturn,NumTrajs,MinReturn,TotalEnvSteps,StdReturn,LossAfter,GradNorm
0,67.8,0.0,0.1581881046295166,-0.1787164807319641,0.001461718464270234,5.049031019210815,1.5840331315994263,0.0007911324501037598,24.00668620353584,4.665473699569702,39.86923076923077,312,3.552713678800501e-15,7651,14.399610996279776,-0.17950761318206787,0.24712989727435442
1,63.8,0.0014715736033394933,0.11275219917297363,-0.17722250521183014,0.0014062162954360247,4.664324998855591,1.582720160484314,0.0007146745920181274,24.231327736937338,4.135136604309082,41.03157894736843,304,9.999999999999986,15159,13.818087027004593,-0.17793717980384827,0.27652724130169015
2,71.5,0.0013270084746181965,0.11642932891845703,-0.18020318448543549,0.0014640172012150288,4.654568195343018,1.5817866325378418,-0.0020373016595840454,27.333006831622775,4.212558746337891,42.3375,320,5.329070518200751e-15,22824,16.24716417563385,-0.17816588282585144,0.28655745713661734
3,68.39999999999999,0.001375041902065277,0.11653780937194824,-0.17563773691654205,0.0012905665207654238,4.482801914215088,1.5809037685394287,0.0013223588466644287,32.26915016245259,4.19626784324646,49.61463414634147,328,19.999999999999993,30482,13.159204531070309,-0.17696009576320648,0.22983566207915393
4,73.80000000000003,0.0012352518970146775,0.11661481857299805,-0.17586453258991241,0.001136802602559328,4.431063413619995,1.5805613994598389,0.001865670084953308,34.30572821752665,4.189452171325684,51.57619047619047,336,30.00000000000001,38120,11.475788374698343,-0.17773020267486572,0.2395988265879842
5,74.70000000000005,0.0010444119106978178,0.1155095100402832,-0.17598208785057068,0.0012287406716495752,4.340478897094727,1.5797038078308105,0.00027157366275787354,37.26758281421439,4.180498361587524,55.68409090909092,352,30.0,45719,10.5916550166504,-0.17625366151332855,0.2840579888235515
6,73.5,0.0012391704367473722,0.11501479148864746,-0.174428328871727,0.0012351061450317502,4.322690486907959,1.57725191116333,0.002524331212043762,37.23503833168773,4.137962579727173,55.247727272727275,352,30.0,53310,11.745859785789968,-0.17695266008377075,0.2877429387988617
7,73.70000000000003,0.0010237963870167732,0.11747860908508301,-0.17581039667129517,0.0010092966258525848,4.346898555755615,1.5795096158981323,-7.985532283782959e-05,41.93048925587891,4.195764541625977,61.44038461538462,416,30.0,60961,11.257343921181555,-0.17573054134845734,0.2828144148741437
8,74.70000000000003,0.0009460244327783585,0.1169734001159668,-0.1794556826353073,0.0010162526741623878,4.266754150390625,1.579437494277954,-0.0037281662225723267,44.71548158786634,4.149106025695801,64.16727272727273,440,49.99999999999998,68569,7.963417597659358,-0.17572751641273499,0.29577178927858055
9,74.80000000000001,0.0009515887941233814,0.11717009544372559,-0.17577409744262695,0.001101248781196773,4.206140518188477,1.5795503854751587,0.0026844143867492676,45.88033113797282,4.144230842590332,65.04310344827586,464,40.00000000000001,76144,7.930563141916162,-0.17845851182937622,0.3575399526332264
10,78.20000000000002,0.0009670238941907883,0.11897778511047363,-0.17514486610889435,0.0008198184659704566,4.318561315536499,1.57989501953125,-0.0007311701774597168,48.892948914336806,4.182036399841309,67.43731343283582,536,40.000000000000014,83761,7.456017019648107,-0.17441369593143463,0.2813849890626123
11,75.50000000000001,0.000804406008683145,0.12113714218139648,-0.1788375824689865,0.0007931314175948501,4.257033348083496,1.5777397155761719,-0.005227506160736084,50.62896683499039,4.234847784042358,67.65970149253731,536,49.99999999999998,91329,6.9482320247025635,-0.17361007630825043,0.2615832581528362
12,76.90000000000002,0.0007854869472794235,0.11701798439025879,-0.17495913803577423,0.0009519719169475138,4.107355833053589,1.5753509998321533,0.0006990283727645874,50.10913312830202,4.082442760467529,67.21846153846154,520,49.99999999999998,98837,7.1845109529553985,-0.17565816640853882,0.2905789800995348
13,76.0,0.0008723069331608713,0.11822128295898438,-0.17425823211669922,0.0007112569874152541,4.174817800521851,1.577493667602539,-0.0007309019565582275,51.11724344395341,4.1233274936676025,68.86527777777778,576,49.99999999999998,106354,6.167526059986881,-0.173527330160141,0.2922161683431059
14,77.20000000000003,0.0006173777510412037,0.12514042854309082,-0.17235538363456726,0.0006511586834676564,4.447036266326904,1.5778254270553589,0.0012771934270858765,53.482831298427506,4.324060678482056,70.93253012048193,664,61.7,113880,3.3160837852472214,-0.17363257706165314,0.31570427848397237
15,76.90000000000005,0.0006961868493817747,0.1192941665649414,-0.17180722951889038,0.00076867057941854,4.163355588912964,1.574832797050476,0.0024012625217437744,52.18056793516698,4.0867249965667725,69.97763157894735,608,50.000000000000014,121397,4.120762534321283,-0.17420849204063416,0.3169153649043483
16,77.5,0.0006769036990590394,0.12170267105102539,-0.17672643065452576,0.0006024427711963654,4.249476194381714,1.576339840888977,-0.003484979271888733,55.35041948861931,4.15887188911438,70.94090909090909,704,50.00000000000001,128969,5.42945745581111,-0.17324145138263702,0.2748276524564206
17,77.70000000000002,0.0005730952834710479,0.12309432029724121,-0.16896334290504456,0.0006524042109958827,4.329583168029785,1.5767855644226074,0.0022428035736083984,56.174240133585386,4.202310800552368,71.45806451612904,744,49.99999999999999,136513,5.493032195929235,-0.17120614647865295,0.30330203958482577
18,78.10000000000002,0.0006506325444206595,0.1229856014251709,-0.17023922502994537,0.0005504557630047202,4.308718681335449,1.5764203071594238,0.0008015483617782593,56.20567263842063,4.222952127456665,71.60000000000001,736,49.99999999999999,144041,4.728705126555588,-0.17104077339172363,0.3134595323848937
19,77.90000000000002,0.00047762974281795323,0.12427496910095215,-0.16997584700584412,0.00047756682033650577,4.394608497619629,1.5772429704666138,0.0010028183460235596,57.54633086936131,4.221567392349243,72.80849056603775,848,64.30000000000001,151664,2.9671191136886788,-0.17097866535186768,0.31268492498543904
20,78.1,0.0005104240262880921,0.12042951583862305,-0.1696052998304367,0.000509879901073873,4.067987680435181,1.5765982866287231,0.001124754548072815,58.56078491286077,4.016167163848877,72.25346534653465,808,49.99999999999998,159188,4.8828364658023835,-0.17073005437850952,0.3230877092980167
