MinReturn,dLoss,TotalEnvSteps,Iteration,LossBefore,Entropy,AverageDiscountedReturn,ProcessExecTime,LossAfter,MaxReturn,NumTrajs,KL,GradNorm,StdReturn,AverageReturn,PolicyExecTime,KLBefore,EnvExecTime
-9.999999999999996,-0.0004896223545074463,7600,0,-0.17445771396160126,1.5495476722717285,20.03205112861853,0.1574234962463379,-0.1739680916070938,40.00000000000003,304,0.0012225160608068109,0.2617496928541157,13.431368584394576,23.421052631578952,5.470279693603516,0.0,5.957822799682617
-10.0,-0.0015401393175125122,15200,1,-0.17518644034862518,1.5505646467208862,17.507420624855857,0.1512908935546875,-0.17364630103111267,50.00000000000001,304,0.0012723839608952403,0.30235672294146826,15.54414676381301,22.89473684210527,5.530256986618042,0.001243138569407165,6.176997661590576
-8.881784197001252e-15,0.003350779414176941,22793,2,-0.17255903780460358,1.5541179180145264,22.238373862312166,0.14971065521240234,-0.17590981721878052,72.69999999999999,312,0.0015254993923008442,0.34974580681507633,17.023629399232686,26.941025641025643,5.385186195373535,0.001210879418067634,5.935409784317017
-20.0,0.0005143135786056519,30393,3,-0.17348673939704895,1.5571545362472534,23.687643637971792,0.14898109436035156,-0.1740010529756546,50.00000000000003,304,0.0014293778222054243,0.29943408431669,18.80244281883816,28.68421052631579,5.338080167770386,0.001544358441606164,5.73532247543335
-9.999999999999996,0.0014400780200958252,37993,4,-0.1752946525812149,1.561160922050476,26.968194256119045,0.1509091854095459,-0.17673473060131073,50.00000000000002,304,0.0015453652013093233,0.3755876309680799,12.513150976809204,35.0,5.379867076873779,0.0013714433880522847,5.633899688720703
10.00000000000001,0.00017371773719787598,45504,5,-0.17558059096336365,1.566433072090149,32.15886412593251,0.14667201042175293,-0.17575430870056152,72.99999999999999,312,0.0014645513147115707,0.40909205430450757,12.899145015981743,42.53589743589744,5.296200513839722,0.0014611741062253714,5.376866817474365
29.999999999999986,0.001587510108947754,53163,6,-0.1756119579076767,1.5697368383407593,36.40184503791855,0.14996123313903809,-0.17719946801662445,72.7,336,0.001342225936241448,0.2898291517285488,12.2758388235127,50.57380952380953,5.430678129196167,0.001273521687835455,5.3202784061431885
20.00000000000001,0.0012864172458648682,60846,7,-0.17539675533771515,1.5698776245117188,40.32998417012235,0.14846348762512207,-0.17668317258358002,75.9,344,0.0012851461069658399,0.37751041030082594,12.241665192476647,51.20232558139534,5.302977085113525,0.0013194010825827718,5.041272163391113
29.999999999999986,-0.0016251057386398315,68480,8,-0.179134801030159,1.5751609802246094,43.60981423104477,0.14952349662780762,-0.17750969529151917,75.70000000000002,376,0.0014517600648105145,0.3506384085425136,12.468909637974845,56.523404255319136,5.308902263641357,0.0011480592656880617,5.000391006469727
30.000000000000007,0.003727838397026062,76140,9,-0.173472061753273,1.5764511823654175,44.895880208788135,0.15026307106018066,-0.17719990015029907,76.8,416,0.0011426180135458708,0.3829155144287502,11.36107493455787,60.65384615384616,5.354590892791748,0.0013025890802964568,5.145521640777588
40.0,-0.0007586628198623657,83652,10,-0.17914892733097076,1.5776339769363403,47.242246190861046,0.14564204216003418,-0.1783902645111084,75.00000000000003,448,0.0011698040179908276,0.42189375022534925,8.842660971745127,64.26428571428572,5.209609508514404,0.0010273996740579605,4.999475479125977
50.00000000000001,-0.00028745830059051514,91173,11,-0.1779443621635437,1.5795706510543823,51.062305718901676,0.14848613739013672,-0.17765690386295319,76.60000000000002,544,0.0009125824435614049,0.40068354323400174,6.152151528173335,68.35147058823529,5.26204776763916,0.000988884479738772,5.166427373886108
50.00000000000001,0.004618406295776367,98774,12,-0.17119015753269196,1.5795912742614746,52.33819341408592,0.14704537391662598,-0.17580856382846832,77.4,608,0.0007746509509161115,0.32318682001633753,4.872282074934551,69.73552631578947,5.293200969696045,0.00080341927241534,5.231911897659302
49.99999999999999,-0.00217224657535553,106330,13,-0.17809633910655975,1.579590916633606,54.80530647532295,0.14891600608825684,-0.17592409253120422,77.30000000000001,672,0.0007247898611240089,0.2995762837193117,5.087410542874052,70.76666666666667,5.327222585678101,0.0007020221673883498,5.266023635864258
49.99999999999999,0.004723995923995972,113927,14,-0.16839033365249634,1.5789697170257568,55.79006560931726,0.14598488807678223,-0.1731143295764923,77.70000000000005,712,0.0006236692424863577,0.29880197725490626,3.7671588662405213,71.35168539325844,5.253760814666748,0.0006793835200369358,5.2439329624176025
49.99999999999998,0.001255229115486145,121431,15,-0.17300014197826385,1.579398274421692,56.96872284311852,0.14331626892089844,-0.17425537109375,77.29999999999998,760,0.0005687963566742837,0.28064251220065906,4.8404017598414235,71.89052631578947,5.199720144271851,0.000575565209146589,5.210906982421875
49.99999999999998,0.00043573975563049316,128956,16,-0.17127013206481934,1.579222559928894,58.52446619579283,0.14447426795959473,-0.17170587182044983,78.1,856,0.000512839003931731,0.28678180262651953,4.953146533438141,72.68691588785049,5.184237003326416,0.000525257783010602,5.312118291854858
64.60000000000001,0.0010780245065689087,136468,17,-0.16729103028774261,1.5789246559143066,59.31046199979707,0.1443924903869629,-0.16836905479431152,77.60000000000001,928,0.0004232815990690142,0.36088933739956397,2.6704842867544922,73.52413793103447,5.240589380264282,0.000481071270769462,5.44053316116333
49.99999999999999,0.0025185048580169678,144011,18,-0.16878435015678406,1.5776437520980835,59.80492833199791,0.14609956741333008,-0.17130285501480103,77.69999999999999,904,0.0005112384096719325,0.3009615967624301,3.4356553637134373,73.23628318584072,5.270940780639648,0.00042256616870872676,5.300062656402588
