EnvExecTime,ProcessExecTime,Entropy,GradNorm,TotalEnvSteps,AverageReturn,AverageDiscountedReturn,NumTrajs,Iteration,StdReturn,LossBefore,LossAfter,KLBefore,dLoss,PolicyExecTime,KL,MaxReturn,MinReturn
4.142301082611084,0.12962841987609863,1.585557222366333,0.3305656468672619,7665,42.087500000000006,26.640073470965056,320,0,13.345264843756382,-0.18092451989650726,-0.17786218225955963,0.0,-0.003062337636947632,6.2946014404296875,0.00115603965241462,70.7,10.000000000000002
4.36794900894165,0.13200902938842773,1.585893988609314,0.3578985403303726,15243,46.30500000000001,28.795649137749752,320,1,14.10744395700369,-0.18255408108234406,-0.17833009362220764,0.001125018810853362,-0.004223987460136414,6.9044764041900635,0.0011459505185484886,71.19999999999997,3.552713678800501e-15
4.339716911315918,0.1287837028503418,1.5841238498687744,0.37328105952772195,22798,41.65384615384616,28.404157038917685,312,2,13.4641565219707,-0.17329542338848114,-0.17625127732753754,0.0011316490126773715,0.0029558539390563965,6.715778827667236,0.001020935014821589,71.69999999999999,10.000000000000007
4.276704788208008,0.12865781784057617,1.5839160680770874,0.37702973892895086,30389,47.82682926829269,31.47099969649021,328,3,14.74569841186837,-0.17519965767860413,-0.17869792878627777,0.0009804782457649708,0.003498271107673645,6.6675331592559814,0.0012090232921764255,70.3,19.999999999999996
4.227078437805176,0.1334071159362793,1.5830429792404175,0.3377980641924282,38086,49.05476190476191,34.71128090009719,336,4,13.335616513699447,-0.17658314108848572,-0.17815595865249634,0.0011622973252087831,0.0015728175640106201,6.793782949447632,0.0010915383463725448,72.19999999999999,10.000000000000014
4.1440393924713135,0.1320023536682129,1.5825977325439453,0.44169524304568303,45620,52.65,37.44514280632845,352,5,13.901152666399483,-0.17534533143043518,-0.17791427671909332,0.001056729000993073,0.002568945288658142,6.6610777378082275,0.0010646611917763948,72.70000000000002,19.999999999999993
3.908344030380249,0.1297931671142578,1.5828686952590942,0.4357171816856545,53179,55.44418604651164,40.053122967880334,344,6,9.837784358363715,-0.17595839500427246,-0.1775742471218109,0.0010612464975565672,0.0016158521175384521,6.587015628814697,0.0010777116985991597,75.50000000000003,39.99999999999999
4.158918380737305,0.13280606269836426,1.5809729099273682,0.43037856463213797,60685,58.653333333333336,38.99713127310332,360,7,9.639976947874697,-0.1744227111339569,-0.17750684916973114,0.0010566021082922816,0.003084138035774231,6.775354385375977,0.0010961538646370173,72.4,29.999999999999986
4.065727472305298,0.13231277465820312,1.5795245170593262,0.4083287908321502,68365,61.0,42.96932187337446,416,8,10.487831777093653,-0.17944802343845367,-0.1765190213918686,0.0009476072154939175,-0.002929002046585083,6.736231088638306,0.0009027445339597762,76.10000000000002,40.0
3.980083703994751,0.1307685375213623,1.5763429403305054,0.3894192162612037,75879,59.137499999999996,43.21814784018178,384,9,10.761730518369244,-0.17763443291187286,-0.1784869134426117,0.0009212687727995217,0.0008524805307388306,6.572344064712524,0.0010861993068829179,76.40000000000002,39.99999999999999
