NumTrajs,StdReturn,EvalAvgReturn,TotalEnvSteps,LossBefore,Entropy,AverageReturn,KLBefore,dLoss,MinReturn,EnvExecTime,KL,AverageDiscountedReturn,LossAfter,PolicyExecTime,ProcessExecTime,Iteration,MaxReturn,GradNorm
304,54.801860738876506,-92.30499999999975,7600,-0.21174700558185577,1.5825080871582031,-165.19736842105263,0.0,0.0009467601776123047,-301.0,3.8623476028442383,0.0009086203062906861,-77.77595521234848,-0.21269376575946808,2.699896812438965,0.08857178688049316,0,-59.49999999999999,0.22788648025536615
304,54.379164119216746,,15200,-0.20292216539382935,1.5822057723999023,-153.8421052631579,0.0008449041633866727,0.0027036964893341064,-285.0,3.753424644470215,0.0008952514617703855,-75.30340479512404,-0.20562586188316345,2.712270736694336,0.09247374534606934,1,-29.499999999999975,0.2595713757123578
304,55.38903283546983,,22789,-0.20876596868038177,1.5828661918640137,-162.56315789473683,0.0008801361545920372,-0.0010120868682861328,-287.0,3.8942925930023193,0.0008941877749748528,-77.8575144897024,-0.20775388181209564,2.6759512424468994,0.09067034721374512,2,-57.499999999999986,0.2537020530893238
304,54.96355031182836,,30389,-0.20142915844917297,1.579940676689148,-154.96052631578948,0.0008447648724541068,0.003620833158493042,-280.0,3.9239680767059326,0.0009625162347219884,-73.59970398514776,-0.20504999160766602,2.751314401626587,0.09335803985595703,3,-41.5,0.23006846939486766
304,46.42602551237126,,37973,-0.21000704169273376,1.579850435256958,-155.93157894736842,0.0009159224573522806,-0.002883434295654297,-244.00000000000003,3.8920786380767822,0.0008768156985752285,-76.81527109273524,-0.20712360739707947,2.692467212677002,0.09198832511901855,4,-78.49999999999999,0.2791939512030168
304,52.560914733456926,,45573,-0.20645347237586975,1.5751171112060547,-164.53947368421052,0.0008792351000010967,0.0006891489028930664,-263.0,4.051459312438965,0.0009200242930091918,-80.23714695384115,-0.20714262127876282,2.726986885070801,0.09303689002990723,5,-38.0,0.2578664957073861
304,41.61190607442556,,53173,-0.202340766787529,1.5754969120025635,-141.5921052631579,0.0008169757202267647,0.003680899739265442,-276.5,3.915926933288574,0.0009126338991336524,-71.284631077525,-0.20602166652679443,2.778651714324951,0.09325242042541504,6,-46.99999999999999,0.26076842648872994
304,40.10826760399788,,60773,-0.20532166957855225,1.5723578929901123,-160.10526315789474,0.0009287909488193691,-0.00011073052883148193,-259.5,4.042207717895508,0.0009460764704272151,-74.77784894413765,-0.20521093904972076,2.7458748817443848,0.09320831298828125,7,-71.0,0.31069986441874514
304,44.53613063719124,,68373,-0.20774805545806885,1.5708554983139038,-173.51315789473685,0.0009206361719407141,-0.0005999058485031128,-270.0,4.117389440536499,0.0010277022374793887,-83.97812086884244,-0.20714814960956573,2.739055633544922,0.09274029731750488,8,-36.999999999999986,0.2554095921561664
304,43.79083571072568,,75973,-0.20820492506027222,1.5682796239852905,-145.3815789473684,0.0010025801602751017,-0.004309341311454773,-246.49999999999997,4.095134019851685,0.0009248813730664551,-70.39017240175176,-0.20389558374881744,2.804675579071045,0.09478640556335449,9,-56.999999999999986,0.2621951951753762
304,55.90986885070513,,83573,-0.1997062861919403,1.569451093673706,-149.18421052631578,0.0009262576932087541,0.004325360059738159,-278.5,3.9277656078338623,0.0007632326451130211,-73.569526971677,-0.20403164625167847,2.6324844360351562,0.0903160572052002,10,-33.5,0.2530177837378925
304,45.082275125274165,,91173,-0.2072298675775528,1.5694530010223389,-134.67105263157896,0.000733758439309895,-0.0008527189493179321,-289.0,3.7969300746917725,0.0009186572278849781,-66.34078124752686,-0.20637714862823486,2.6504666805267334,0.09020042419433594,11,-43.499999999999986,0.2761954438089154
304,44.5798794409488,,98773,-0.20688676834106445,1.5658680200576782,-144.05263157894737,0.0009064787882380188,-0.0007125735282897949,-247.5,3.9736764430999756,0.0009534746059216559,-69.32186822967903,-0.20617419481277466,2.7001540660858154,0.09222221374511719,12,-55.999999999999986,0.2597690700199699
304,40.30782051583591,,106373,-0.20303601026535034,1.567091464996338,-133.25,0.0008945190347731113,0.0012422949075698853,-221.5,3.743379592895508,0.0010724164312705398,-66.51948439672479,-0.20427830517292023,2.6307568550109863,0.08991050720214844,13,-58.5,0.25161360282806994
304,42.87729908714296,,113923,-0.20547489821910858,1.5654603242874146,-127.9342105263158,0.0010572850005701184,-0.0006560087203979492,-205.99999999999994,3.8906707763671875,0.0009421626455150545,-63.39289732339265,-0.20481888949871063,2.685918092727661,0.09205985069274902,14,-18.999999999999986,0.2837446319481663
304,40.55716742623786,,121523,-0.20585528016090393,1.5628743171691895,-137.56578947368422,0.0009362394339405,-0.000592648983001709,-218.0,3.9108219146728516,0.001070783007889986,-67.54967888551779,-0.20526263117790222,2.6117796897888184,0.08951997756958008,15,-46.99999999999998,0.24930185974009197
304,45.445846513999065,,129123,-0.20605145394802094,1.5609854459762573,-141.72368421052633,0.0010492091532796621,0.0016290992498397827,-235.0,3.9878904819488525,0.0010389506351202726,-72.79163094577075,-0.20768055319786072,2.715564489364624,0.09309911727905273,16,-30.499999999999986,0.27865581893059166
304,48.688287524878746,,136723,-0.2033991515636444,1.5613328218460083,-129.75,0.0010016391752287745,0.0025045424699783325,-281.5,4.051526308059692,0.0010573649778962135,-63.143401804235175,-0.20590369403362274,2.7450993061065674,0.09350228309631348,17,-43.99999999999999,0.2761276323252856
