PolicyExecTime,StdReturn,GradNorm,TotalEnvSteps,LossBefore,ProcessExecTime,AverageDiscountedReturn,EnvExecTime,KL,dLoss,Entropy,AverageReturn,MinReturn,MaxReturn,LossAfter,NumTrajs,Iteration,KLBefore
6.5886735916137695,43.38887364239453,0.44183787276348446,7600,-0.17576314508914948,0.12486124038696289,-68.52161127966883,4.715310096740723,0.0012037656269967556,0.0019085705280303955,1.5876355171203613,-127.0657894736842,-224.5,-37.999999999999986,-0.17767171561717987,304,0,0.0
6.396575212478638,44.78894798380338,0.4120737758729757,15200,-0.1730073094367981,0.12022948265075684,-64.23006311469285,4.532899618148804,0.0011733819264918566,0.0016967803239822388,1.584506630897522,-121.05263157894737,-189.5,-18.999999999999975,-0.17470408976078033,304,1,0.0012353126658126712
6.818243741989136,54.58879269674906,0.4066444720689279,22800,-0.17617638409137726,0.12762045860290527,-64.56533628209687,4.879056930541992,0.0011065071448683739,8.490681648254395e-05,1.5846163034439087,-124.60526315789474,-258.50000000000006,-29.499999999999986,-0.1762612909078598,304,2,0.0011634621769189835
6.863338947296143,46.60775387858385,0.40265493597985974,30400,-0.18064995110034943,0.12941789627075195,-66.78189492846222,4.957921028137207,0.0015259202336892486,-0.0019927769899368286,1.5798909664154053,-126.01315789473684,-250.0,-49.5,-0.1786571741104126,304,3,0.001149165560491383
6.9493513107299805,43.43095780164038,0.32761497553755403,38000,-0.17351341247558594,0.12924551963806152,-61.581755070043876,5.192587614059448,0.0011805333197116852,0.0018577426671981812,1.5756653547286987,-120.59210526315789,-223.49999999999997,-21.499999999999986,-0.17537115514278412,304,4,0.0015984477940946817
7.213739633560181,31.606481965192938,0.4296595810492921,45600,-0.17807713150978088,0.13520574569702148,-52.880470191323944,5.300837278366089,0.001263075741007924,-0.0017932802438735962,1.5742334127426147,-102.22368421052632,-155.0,-26.49999999999999,-0.1762838512659073,304,5,0.0011923376005142927
6.976199150085449,31.22402798843729,0.4212264049652724,53200,-0.1806548535823822,0.12900710105895996,-57.36201264312572,5.163345813751221,0.001329875783994794,-0.004349425435066223,1.5732346773147583,-104.38157894736841,-154.99999999999997,-44.99999999999999,-0.17630542814731598,304,6,0.0012579873437061906
7.008523464202881,31.41753705096933,0.393533332754293,60800,-0.17389458417892456,0.1279761791229248,-54.66841048311085,5.1594109535217285,0.0012422067811712623,0.0015682727098464966,1.5725476741790771,-100.86842105263156,-159.0,-30.0,-0.17546285688877106,304,7,0.0013757015112787485
7.032713174819946,41.884520044887495,0.40482908075254875,68400,-0.17617395520210266,0.12995076179504395,-57.5848326868771,5.269865036010742,0.001304958714172244,0.00031416118144989014,1.5688972473144531,-106.94736842105262,-199.99999999999997,2.4999999999999982,-0.17648811638355255,304,8,0.0012660467764362693
6.986994743347168,36.938876666978956,0.37931149387403024,76000,-0.16843439638614655,0.12958931922912598,-57.79553314007498,5.305614471435547,0.0011562035651877522,0.0050189197063446045,1.5680363178253174,-103.42105263157895,-201.0,-26.000000000000007,-0.17345331609249115,304,9,0.00130479596555233
