AverageReturn,dLoss,ProcessExecTime,KLBefore,LossAfter,Entropy,NumTrajs,LossBefore,MaxReturn,PolicyExecTime,EnvExecTime,KL,Iteration,GradNorm,StdReturn,TotalEnvSteps,MinReturn,AverageDiscountedReturn
-48.10526315789473,-0.0032972991466522217,0.15489792823791504,0.0013427195372059941,-0.16886959969997406,1.4996861219406128,304,-0.17216689884662628,-8.999999999999991,5.7052528858184814,6.680133104324341,0.0012522345641627908,20,0.2888114771206876,19.428735465100477,159664,-98.50000000000001,-27.43463674690555
-52.42105263157894,-0.002167642116546631,0.15523004531860352,0.0012347144074738026,-0.16727398335933685,1.5009231567382812,304,-0.16944162547588348,-10.999999999999993,5.619251012802124,6.649259567260742,0.0011615111725404859,21,0.29409330891227314,20.204391887001833,167264,-88.99999999999999,-31.306774346877702
-49.3157894736842,-0.0010140389204025269,0.1489243507385254,0.0011804653331637383,-0.16950960457324982,1.496459722518921,304,-0.17052364349365234,-5.4999999999999805,5.5177717208862305,6.549947738647461,0.0011935086222365499,22,0.28377814867864953,20.42232429572817,174864,-89.99999999999997,-29.597082708958308
-47.92105263157894,0.00026038289070129395,0.14896893501281738,0.001178181846626103,-0.16936857998371124,1.4967402219772339,304,-0.16910819709300995,1.5000000000000142,5.476060390472412,6.557265043258667,0.0012275067856535316,23,0.31672968305673,21.117629924515885,182464,-102.5,-27.223156938806166
-36.802631578947356,-0.002950325608253479,0.14893007278442383,0.001228886772878468,-0.17059041559696198,1.4969241619110107,304,-0.17354074120521545,4.000000000000007,5.425078392028809,6.254902362823486,0.0013154556509107351,24,0.3291513278471653,18.304277424202265,190064,-102.49999999999999,-19.315557148639357
-46.18421052631578,0.0017354786396026611,0.14838767051696777,0.001302132150158286,-0.16819728910923004,1.4966540336608887,304,-0.16646181046962738,-5.499999999999986,5.448442459106445,6.694086074829102,0.001193475560285151,25,0.32431104407681166,21.51848075144747,197664,-123.49999999999997,-25.63393586705102
-43.86842105263157,-0.0007420331239700317,0.14670109748840332,0.0011968336766585708,-0.16861599683761597,1.4959385395050049,304,-0.169358029961586,-10.499999999999968,5.3932342529296875,6.494918346405029,0.0011772282887250185,26,0.3066721691948932,20.857500295087053,205264,-100.49999999999996,-25.079039073662084
-37.13157894736841,0.002124011516571045,0.1503763198852539,0.0011795161990448833,-0.16828177869319916,1.4950730800628662,304,-0.1661577671766281,-9.999999999999986,5.457758903503418,6.434467554092407,0.001114966464228928,27,0.3064037883044833,17.690201053023646,212864,-75.49999999999999,-19.129491206919916
-42.57894736842104,0.0011674761772155762,0.14870262145996094,0.001126171788200736,-0.168694406747818,1.497861385345459,304,-0.16752693057060242,8.000000000000016,5.411144495010376,6.445529222488403,0.0011830090079456568,28,0.3061201597692487,25.407864073682052,220464,-110.99999999999997,-24.346154931142298
-30.842105263157883,-0.00024881958961486816,0.14907336235046387,0.0011755522573366761,-0.1683240681886673,1.5010147094726562,304,-0.16857288777828217,1.9999999999999898,5.45571231842041,6.292677640914917,0.0012488850625231862,29,0.31090541995344273,15.176637717556952,228064,-70.5,-15.104125400845126
-43.17105263157894,0.004676342010498047,0.1482388973236084,0.0012525274651125073,-0.16960327327251434,1.499109148979187,304,-0.1649269312620163,-8.000000000000012,5.420450448989868,6.631070613861084,0.0013170980382710695,30,0.31026038510733056,18.0868796281017,235664,-94.99999999999999,-23.019513819360785
-42.26315789473683,-0.0015876293182373047,0.14890551567077637,0.0013133137254044414,-0.17220577597618103,1.5019075870513916,304,-0.17379340529441833,-5.499999999999995,5.437854528427124,6.564962148666382,0.0013096471084281802,31,0.32444314913964817,19.929394068120526,243264,-75.49999999999997,-23.61198892042629
-42.749999999999986,-0.0023212730884552,0.1490471363067627,0.0013186419382691383,-0.16904427111148834,1.4943323135375977,304,-0.17136554419994354,-6.5000000000000115,5.366384029388428,6.531726598739624,0.0011923951096832752,32,0.34514543961004285,16.292858461365984,250864,-70.0,-23.983214284343607
