NumTrajs,AverageReturn,MinReturn,TotalEnvSteps,PolicyExecTime,MaxReturn,AverageDiscountedReturn,Entropy,dLoss,EnvExecTime,StdReturn,KLBefore,LossAfter,Iteration,LossBefore,KL,GradNorm,ProcessExecTime
348,85.92068965517244,40.000000000000014,5083,3.4273743629455566,113.50000000000001,63.43426926531516,1.5867867469787598,0.003024950623512268,2.818084716796875,18.55034862225329,0.0,-0.18396338820457458,0,-0.18093843758106232,0.000879250408615917,0.7421137912315249,0.07290196418762207
360,94.02333333333334,60.00000000000002,10176,3.61299204826355,110.50000000000006,66.62308112285626,1.5861518383026123,2.4884939193725586e-06,2.8946821689605713,13.61265791664345,0.0008402506937272847,-0.18241605162620544,1,-0.18241356313228607,0.0007555842166766524,0.5375850520693415,0.07122182846069336
348,91.05517241379312,69.99999999999999,15270,3.8442671298980713,112.60000000000002,68.29873093681127,1.5843948125839233,0.0012697577476501465,3.063182830810547,12.67001853975991,0.0007705211755819619,-0.18450890481472015,2,-0.18323914706707,0.000753283966332674,0.5762095857928546,0.07698798179626465
372,92.00967741935484,60.00000000000001,20347,4.046662330627441,114.39999999999999,69.02427862902721,1.5841416120529175,-0.006287574768066406,3.217031478881836,15.460612908576595,0.0007390155224129558,-0.18200530111789703,3,-0.18829287588596344,0.0007604581769555807,0.5745517643941713,0.0793464183807373
396,97.54848484848486,60.000000000000014,25456,4.277933359146118,116.20000000000005,73.34104341977613,1.5847644805908203,0.002083688974380493,3.35033917427063,13.742747315035743,0.0007002016063779593,-0.1813834011554718,4,-0.1792997121810913,0.0007229178445413709,0.4248418031071775,0.08461976051330566
384,97.54375000000002,80.0,30642,4.473749399185181,113.90000000000005,71.5148566897793,1.5815517902374268,-0.0009696334600448608,3.4698567390441895,10.847002394094888,0.0007525311666540802,-0.1827799379825592,5,-0.18374957144260406,0.0007896689348854125,0.6055696580163931,0.08658552169799805
360,96.60333333333332,79.99999999999999,35661,4.439638376235962,113.80000000000004,72.88113991598816,1.5794453620910645,0.002347588539123535,3.4314277172088623,10.358458164975893,0.0008068340248428285,-0.18157543241977692,6,-0.17922784388065338,0.000767170509789139,0.5745143570048231,0.08801007270812988
396,99.27575757575758,60.0,40700,5.3900840282440186,113.30000000000004,73.42290533305793,1.5805480480194092,-5.549192428588867e-05,4.256559133529663,12.15433655751526,0.0006989907706156373,-0.1849537342786789,7,-0.18500922620296478,0.0007598664960823953,0.4982481536889525,0.10331606864929199
456,103.08947368421055,79.99999999999999,45826,5.934368371963501,116.10000000000005,77.78641949065923,1.580873966217041,-0.0005808472633361816,4.652220964431763,10.252568085829559,0.0006596779567189515,-0.18392407894134521,8,-0.1845049262046814,0.0006725256680510938,0.4899756125929132,0.11310148239135742
408,101.67058823529413,89.99999999999997,50858,7.176440715789795,112.50000000000003,78.03762974299843,1.5793063640594482,-0.012966513633728027,5.4224231243133545,9.10764156892975,0.0007207447779364884,-0.18303436040878296,9,-0.196000874042511,0.0007797344587743282,0.5876130134782316,0.13623881340026855
432,102.78333333333336,89.99999999999999,55956,7.696814060211182,114.70000000000005,79.70467294665849,1.5790996551513672,-0.0002696216106414795,5.784567832946777,9.164196636912598,0.0007450591074302793,-0.18381251394748688,10,-0.18408213555812836,0.0007175959763117135,0.5628244301161295,0.14560627937316895
492,104.4878048780488,79.99999999999997,61016,9.307074546813965,115.40000000000003,79.64881746748654,1.5791293382644653,0.0016737431287765503,7.478351354598999,10.671461717189443,0.0006396285607479513,-0.1831529587507248,11,-0.18147921562194824,0.0006439107237383723,0.5176496767736595,0.17437744140625
468,104.27692307692308,79.99999999999999,66048,7.773313760757446,115.9,80.8221326330449,1.5785962343215942,0.0012463927268981934,6.092290639877319,10.187812264547905,0.0006530102109536529,-0.18305164575576782,12,-0.18180525302886963,0.0006647752015851438,0.5913158970401942,0.15114760398864746
492,105.99512195121952,89.99999999999999,71090,7.9075400829315186,116.60000000000002,83.28955061286841,1.5788493156433105,0.0019355565309524536,6.048669815063477,8.19345221084919,0.0006289834273047745,-0.18110725283622742,13,-0.17917169630527496,0.0005813857424072921,0.5746533744468948,0.15171337127685547
492,105.89512195121951,90.0,76173,8.101202964782715,116.30000000000004,84.19950606876775,1.5773696899414062,0.0024300366640090942,6.090680837631226,8.653265314023608,0.0005933151114732027,-0.18190410733222961,14,-0.17947407066822052,0.0006125926738604903,0.40873860496721726,0.15314340591430664
516,106.88139534883722,89.99999999999994,81214,8.839477777481079,116.30000000000004,82.90521131477016,1.5763267278671265,0.0005605816841125488,7.070626497268677,8.0445346408531,0.0005957313114777207,-0.1829557865858078,15,-0.18239520490169525,0.0006868086056783795,0.4824115216904869,0.17052865028381348
552,108.55434782608698,90.0,86279,6.843695163726807,116.40000000000005,85.96541704613814,1.5770264863967896,-0.004186809062957764,5.162255764007568,5.717771933106206,0.0006548109813593328,-0.18261152505874634,16,-0.1867983341217041,0.0006259427755139768,0.6057796251383304,0.1260218620300293
588,108.70816326530614,89.99999999999996,91412,6.913942575454712,116.90000000000003,86.45581097561112,1.5800198316574097,-0.004696890711784363,5.273463726043701,6.940882633242448,0.0005898001836612821,-0.18214870989322662,17,-0.186845600605011,0.0006324172136373818,0.5537691760232513,0.1281132698059082
672,110.84464285714287,90.00000000000001,96439,6.738994836807251,117.20000000000003,89.6786043097549,1.5819600820541382,-0.003075346350669861,5.207509994506836,4.748304947288984,0.0005453312187455595,-0.18143796920776367,18,-0.18451331555843353,0.0004893915611319244,0.47712786006408753,0.12498593330383301
