NumTrajs,AverageReturn,EnvExecTime,LossAfter,AverageDiscountedReturn,TotalEnvSteps,MaxReturn,MinReturn,LossBefore,KLBefore,KL,StdReturn,PolicyExecTime,dLoss,GradNorm,ProcessExecTime,Iteration,Entropy
336,89.58214285714287,5.418397903442383,-0.18234117329120636,61.64484352375985,5117,110.30000000000001,40.00000000000002,-0.18884578347206116,0.0,0.0009510369854979217,15.480703508640971,4.0322418212890625,-0.006504610180854797,0.38653270843117,0.11977434158325195,0,1.5810825824737549
324,87.98518518518519,6.519390821456909,-0.18045851588249207,62.856539472466814,10261,108.00000000000003,39.999999999999986,-0.17778372764587402,0.0009780125692486763,0.0009631740394979715,14.057256033377524,4.9743194580078125,0.002674788236618042,0.41411429101944414,0.12561774253845215,1,1.5787718296051025
348,90.9896551724138,6.217892169952393,-0.1811756044626236,63.76003023101557,15374,113.70000000000007,50.000000000000014,-0.1785394251346588,0.0009157662861980498,0.0009061042801477015,14.987658022004052,4.575728178024292,0.0026361793279647827,0.42247585769153145,0.12069463729858398,2,1.5797486305236816
372,96.05806451612904,6.16806435585022,-0.18385571241378784,68.67404196001777,20496,115.40000000000006,79.99999999999999,-0.18802282214164734,0.0008119673002511263,0.0009921373566612601,11.494424291902988,4.724075078964233,-0.004167109727859497,0.43817655333796074,0.12231683731079102,3,1.5825989246368408
384,97.30000000000001,5.930491924285889,-0.18506242334842682,70.83031298291914,25660,114.70000000000005,40.000000000000014,-0.18782322108745575,0.0009463394526392221,0.0010387413203716278,14.113203038290074,4.5491790771484375,-0.0027607977390289307,0.40986460872624175,0.11967682838439941,4,1.5815253257751465
444,104.6864864864865,5.85980749130249,-0.1819179207086563,76.16768808869593,30826,114.30000000000001,89.99999999999996,-0.1852370649576187,0.0008883505361154675,0.0007789263618178666,6.867713816156606,4.511510848999023,-0.0033191442489624023,0.45131866388369635,0.12030744552612305,5,1.5832959413528442
444,103.8756756756757,5.589264392852783,-0.18125958740711212,76.76729614844798,35892,115.9,80.0,-0.18221908807754517,0.0007708530756644905,0.0007505009416490793,9.030830239448237,4.352243423461914,-0.0009595006704330444,0.4964722165722036,0.11437296867370605,6,1.5826834440231323
516,106.95813953488371,6.012383222579956,-0.1852784901857376,80.6096443442256,41000,115.30000000000004,89.99999999999999,-0.18751028180122375,0.0006470397347584367,0.0007472123834304512,6.905448895303356,4.598042249679565,-0.002231791615486145,0.48486414309787496,0.12188005447387695,7,1.5841094255447388
528,107.72272727272728,5.948617458343506,-0.17915454506874084,81.00394259465689,46002,116.30000000000004,90.0,-0.18652969598770142,0.000718788243830204,0.0006230895523913205,6.560413777012842,4.516671419143677,-0.007375150918960571,0.4910087133997361,0.12079524993896484,8,1.5824381113052368
516,106.81860465116283,5.822618007659912,-0.1849352866411209,82.59404462142979,51070,115.60000000000005,89.99999999999999,-0.18557031452655792,0.0006159921176731586,0.0007766782073304057,7.829142214856215,4.562279462814331,-0.0006350278854370117,0.4800782992554878,0.12102341651916504,9,1.5820575952529907
624,109.94423076923077,6.0871758460998535,-0.18011920154094696,86.7991132492253,56099,115.80000000000003,89.99999999999999,-0.1818416267633438,0.0006605275557376444,0.0005417182692326605,5.281331907386282,4.6831018924713135,-0.0017224252223968506,0.4980310810111891,0.125748872756958,10,1.5848379135131836
636,110.11320754716985,5.827460765838623,-0.1839953064918518,86.82206084701906,61139,115.40000000000003,90.0,-0.18143297731876373,0.0005289987311698496,0.0005744666559621692,4.986284499290794,4.456944942474365,0.0025623291730880737,0.42961387775957915,0.12007331848144531,11,1.5836455821990967
720,111.09000000000002,6.368698358535767,-0.1813814789056778,89.46284011546771,66185,117.40000000000003,89.99999999999997,-0.18399350345134735,0.0005246268119663,0.0005285685183480382,5.507682513241553,4.832000970840454,-0.0026120245456695557,0.4522279585075957,0.12946701049804688,12,1.584986925125122
768,111.59375000000003,5.659231185913086,-0.1803952157497406,91.60381457287511,71265,117.50000000000003,89.99999999999999,-0.1779233068227768,0.0004922291846014559,0.0004346514178905636,5.756731793083649,4.297743320465088,0.002471908926963806,0.4075854949997551,0.1166231632232666,13,1.5858256816864014
792,111.77121212121214,5.680804491043091,-0.1811787188053131,93.05636514001682,76296,118.60000000000005,89.99999999999997,-0.1783810704946518,0.000410289823776111,0.0004815263382624835,5.9693348990337975,4.357469081878662,0.002797648310661316,0.42182386348092155,0.11882424354553223,14,1.58615243434906
912,113.24078947368425,6.145803689956665,-0.1774258315563202,94.70877756272975,81333,117.80000000000005,89.99999999999999,-0.17764104902744293,0.00041846392559818923,0.00038597776438109577,3.7712268571792817,4.6036834716796875,-0.0002152174711227417,0.46166934179558833,0.12491273880004883,15,1.587449073791504
828,112.6985507246377,5.6824023723602295,-0.17588379979133606,93.93063311381063,86371,117.4,100.59999999999998,-0.17922565340995789,0.00041767521179281175,0.00036777896457351744,3.288561323855829,4.383647918701172,-0.003341853618621826,0.43100137021772283,0.11796784400939941,16,1.5850621461868286
936,113.5820512820513,5.965270042419434,-0.18113400042057037,95.7586579135074,91377,117.90000000000006,105.70000000000005,-0.18058691918849945,0.00032546260626986623,0.0003654850006569177,2.697612600237466,4.497792720794678,0.0005470812320709229,0.43245090100637307,0.1209723949432373,17,1.5865447521209717
984,113.76097560975609,6.120656251907349,-0.17582888901233673,96.39646790586666,96493,118.60000000000005,105.0,-0.1764795184135437,0.0003496066783554852,0.0003362051211297512,3.046619722103904,4.6043946743011475,-0.0006506294012069702,0.4339041343360993,0.12694382667541504,18,1.5865813493728638
