dLoss,MinReturn,GradNorm,ProcessExecTime,Iteration,PolicyExecTime,Entropy,KLBefore,KL,LossAfter,LossBefore,AverageReturn,AverageDiscountedReturn,NumTrajs,MaxReturn,EvalAvgReturn,TotalEnvSteps,EnvExecTime,StdReturn
0.004071548581123352,-263.5,0.2343682657005442,0.14178752899169922,0,4.465924263000488,1.5765376091003418,0.0,0.0009857453405857086,-0.21625839173793793,-0.21218684315681458,-142.2897435897436,-74.42091017907221,312,-46.50000000000001,-103.3999999999997,7608,5.308230876922607,56.736235402312005
0.006285533308982849,-313.00000000000006,0.2446020636676152,0.14591121673583984,1,4.562158107757568,1.5755232572555542,0.000980351003818214,0.0008868306176736951,-0.20942848920822144,-0.2031429558992386,-151.02307692307693,-79.89323668456318,312,-53.5,,15292,5.378041744232178,55.63088729565416
0.005631968379020691,-254.5,0.2395859216982756,0.14508962631225586,2,4.5367653369903564,1.5747992992401123,0.0008263307390734553,0.0009027899941429496,-0.20742714405059814,-0.20179517567157745,-132.65384615384616,-67.90543736059209,312,-46.6,,22977,5.16249942779541,54.8539078202804
0.0035056471824645996,-270.0,0.25489185221559446,0.14324045181274414,3,4.503864765167236,1.5737775564193726,0.0009114127606153488,0.000994148664176464,-0.21049295365810394,-0.20698730647563934,-148.5157894736842,-78.5197039201817,304,-48.999999999999986,,30493,5.301361560821533,53.015055092699804
-0.0011605173349380493,-222.5,0.2573362950497003,0.1473705768585205,4,4.521326780319214,1.572402834892273,0.0009380881674587727,0.000980149838142097,-0.20892579853534698,-0.21008631587028503,-143.52631578947367,-71.50175330141455,304,-68.49999999999997,,38093,5.365722179412842,44.0306333806394
0.00993405282497406,-293.0,0.26777175005952647,0.14603853225708008,5,4.4804463386535645,1.5708023309707642,0.0009841385763138533,0.0010560769587755203,-0.211215540766716,-0.20128148794174194,-152.20263157894738,-81.21864931793897,304,-32.49999999999997,,45630,5.309042930603027,60.59678854979426
0.002113819122314453,-265.0,0.305363593572564,0.1445329189300537,6,4.468594789505005,1.5696457624435425,0.001060637878254056,0.0011292374692857265,-0.21026679873466492,-0.20815297961235046,-150.98684210526315,-77.41046742296075,304,-50.300000000000004,,53175,5.508399248123169,56.55714935053994
0.003417655825614929,-296.0,0.2766753410644124,0.14551115036010742,7,4.469134330749512,1.5692951679229736,0.0010323356837034225,0.0010077330516651273,-0.20890578627586365,-0.20548813045024872,-143.35263157894735,-70.60642969484734,304,-35.49999999999998,,60744,5.381834983825684,46.93672525097293
0.0030142515897750854,-225.0,0.27989090155796503,0.14522957801818848,8,4.466083765029907,1.5680201053619385,0.0009799819672480226,0.0010741809383034706,-0.21135486662387848,-0.2083406150341034,-137.95526315789473,-75.36753996230054,304,-16.29999999999999,,68267,5.381870985031128,46.76799230112531
0.0052680522203445435,-277.5,0.2736905636466853,0.1474318504333496,9,4.550778150558472,1.5689878463745117,0.001014639507047832,0.0011401015799492598,-0.2101997584104538,-0.20493170619010925,-134.44615384615383,-72.41873728425087,312,-46.39999999999999,,75876,5.3018639087677,56.994362501934994
0.0041342973709106445,-257.0,0.2556418803129092,0.14756560325622559,10,4.57414698600769,1.5681254863739014,0.0011314008152112365,0.0009131591650657356,-0.20705784857273102,-0.20292355120182037,-137.89473684210526,-70.02479967149358,304,-34.000000000000014,,83476,5.198778867721558,48.185518393242226
-0.0005352497100830078,-259.0,0.2891327080715323,0.14447641372680664,11,4.500163555145264,1.5669033527374268,0.0008891119505278766,0.0009740247041918337,-0.21067993342876434,-0.21121518313884735,-143.9157894736842,-72.50127192183402,304,-42.8,,91024,5.44640040397644,50.21170196129998
-0.0012778788805007935,-254.0,0.28034065971879485,0.1477644443511963,12,4.539259672164917,1.565839409828186,0.0009237141930498183,0.0010205062571913004,-0.20867319405078888,-0.20995107293128967,-135.43157894736842,-71.92609760760777,304,-27.999999999999986,,98588,5.390779972076416,47.78930790604217
0.0012738704681396484,-299.00000000000006,0.276504645034444,0.1466808319091797,13,4.528378963470459,1.5661425590515137,0.0009933463297784328,0.0009627374238334596,-0.20839321613311768,-0.20711934566497803,-135.26315789473685,-68.61943379343987,304,-36.99999999999997,,106188,5.328222036361694,55.50139126303921
8.751451969146729e-05,-269.5,0.2925241183712901,0.14767050743103027,14,4.457070827484131,1.5662490129470825,0.0009216234902851284,0.0010490961140021682,-0.2124781459569931,-0.21239063143730164,-132.35526315789474,-68.30250523824779,304,-1.9999999999999964,,113688,5.291927337646484,57.519578805684766
0.004633262753486633,-263.0,0.28277630173712265,0.1463770866394043,15,4.532389879226685,1.562834620475769,0.0010671070776879787,0.0010861220071092248,-0.21141734719276428,-0.20678408443927765,-151.55263157894737,-74.83729410319887,304,-11.499999999999986,,121228,5.552130460739136,54.86703898297231
0.0032809674739837646,-244.5,0.2789287499619714,0.14729046821594238,16,4.523972034454346,1.5616658926010132,0.0010413826676085591,0.0011649561347439885,-0.21219806373119354,-0.20891709625720978,-146.72051282051282,-71.26395898602189,312,-22.099999999999994,,128919,5.5791099071502686,51.14019533815054
0.0015132874250411987,-249.00000000000006,0.2944324909157673,0.14533162117004395,17,4.413279056549072,1.5600868463516235,0.0010938614141196012,0.0011037391377612948,-0.21319612860679626,-0.21168284118175507,-153.06578947368422,-81.49625447339558,304,-54.5,,136519,5.574565649032593,45.814869318732335
-0.00020393729209899902,-260.5,0.2762324221044292,0.1466045379638672,18,4.4079930782318115,1.5611926317214966,0.001039824215695262,0.000988653628155589,-0.20780949294567108,-0.20801343023777008,-135.1184210526316,-68.33859651673895,304,-36.99999999999998,,144119,5.448976278305054,47.10394918778969
