dLoss,KL,GradNorm,PolicyExecTime,EnvExecTime,Iteration,NumTrajs,AverageDiscountedReturn,AverageReturn,StdReturn,TotalEnvSteps,MinReturn,LossBefore,LossAfter,KLBefore,Entropy,MaxReturn,ProcessExecTime
-0.0006588995456695557,0.0012149811955168843,0.4154505430783609,4.911259889602661,3.889862537384033,0,304,15.421755886994507,24.473684210526322,16.009432815005404,7600,-20.0,-0.1797410547733307,-0.17908215522766113,0.0,1.5896520614624023,50.00000000000002,0.10363292694091797
-0.004344582557678223,0.0012496853014454246,0.4708305457976239,4.7825026512146,3.683486223220825,1,304,19.02208168684498,28.96052631578948,15.380430824738646,15195,-10.0,-0.1830461323261261,-0.17870154976844788,0.0011970293708145618,1.5877060890197754,60.50000000000001,0.10132288932800293
0.0005111247301101685,0.0012090704403817654,0.2863248980246991,5.040116548538208,3.7364892959594727,2,304,22.55232857196343,32.10526315789474,15.202059198612416,22695,-5.329070518200751e-15,-0.1769886612892151,-0.17749978601932526,0.001196284662000835,1.5869389772415161,65.4,0.11140561103820801
-0.0010274648666381836,0.0011965968878939748,0.3671317550982139,4.976344585418701,3.7501938343048096,3,312,21.915172390523065,33.389743589743595,15.97996814720029,30373,5.329070518200751e-15,-0.17785371840000153,-0.17682625353336334,0.001207744237035513,1.5855029821395874,66.70000000000002,0.10976123809814453
-0.0006031990051269531,0.0012084317859262228,0.40848898783823967,5.13424825668335,3.786194324493408,4,320,24.69599777903336,40.417500000000004,15.338886652883248,37906,10.00000000000001,-0.17866447567939758,-0.17806127667427063,0.0011509398464113474,1.5851281881332397,71.29999999999998,0.1125185489654541
-0.0015087127685546875,0.0011471895268186927,0.3117836283623463,5.20191764831543,3.6082448959350586,5,320,29.770290307506436,47.3275,11.397367843059198,45575,20.000000000000007,-0.18144911527633667,-0.17994040250778198,0.0011585699394345284,1.5848559141159058,69.29999999999998,0.11309361457824707
-0.004520907998085022,0.00127112225163728,0.31466676875832156,5.114242315292358,3.5667197704315186,6,320,30.137308158773124,48.9625,11.342898384011026,53090,20.000000000000014,-0.1819009631872177,-0.1773800551891327,0.0011071573244407773,1.5808942317962646,70.49999999999999,0.1127004623413086
-0.0007921457290649414,0.0011366233229637146,0.37877951119608966,5.236760377883911,3.573016405105591,7,344,33.24379600863242,50.55116279069768,13.850940226553055,60753,19.999999999999996,-0.1767340451478958,-0.17594189941883087,0.001208948902785778,1.5794737339019775,72.5,0.11417937278747559
0.0003752410411834717,0.0011044428683817387,0.39841825893624144,5.5189738273620605,3.776611804962158,8,344,34.00703926085305,52.77441860465117,12.198133540475842,68360,20.000000000000014,-0.17797866463661194,-0.1783539056777954,0.0010913145961239934,1.574454426765442,71.10000000000001,0.12161684036254883
-0.001924365758895874,0.001127608702518046,0.4662291272087028,5.4035491943359375,3.512380599975586,9,360,38.3561374340706,55.92,10.693894415870098,75996,39.999999999999986,-0.17930565774440765,-0.17738129198551178,0.0010173452319577336,1.575549602508545,72.79999999999998,0.119293212890625
-0.0030384957790374756,0.0010801724856719375,0.47088915549994775,5.436384439468384,3.6213223934173584,10,376,38.56640845377316,58.0872340425532,10.826103541043484,83595,39.999999999999986,-0.1804114580154419,-0.17737296223640442,0.0011054778005927801,1.570298671722412,75.30000000000004,0.1186068058013916
0.00445343554019928,0.0009578331373631954,0.4369776742070631,5.38848876953125,3.480226516723633,11,384,41.58214265605515,60.95624999999999,8.137872015305962,91136,49.99999999999999,-0.17157049477100372,-0.176023930311203,0.0010025892406702042,1.5698049068450928,73.1,0.1192939281463623
0.0003242790699005127,0.0008621832821518183,0.37715204079047365,5.176853895187378,3.4677398204803467,12,424,42.468633739008396,63.25283018867925,8.0795713451957,98712,50.0,-0.17457319796085358,-0.1748974770307541,0.0009210978751070797,1.5665639638900757,75.10000000000001,0.11699867248535156
0.003214031457901001,0.0009387903846800327,0.40163431193898497,5.572851896286011,3.5816140174865723,13,432,44.37326466811046,63.52037037037038,8.193230711535922,106411,39.99999999999999,-0.172113299369812,-0.175327330827713,0.0008326774113811553,1.5676517486572266,76.0,0.12232494354248047
0.002120092511177063,0.0009133006678894162,0.38269942087327974,5.368169784545898,3.5901875495910645,14,456,44.658785767014635,64.07719298245614,9.07261190933981,113987,40.0,-0.17242975533008575,-0.17454984784126282,0.0008865861454978585,1.566035270690918,75.0,0.12020993232727051
0.0016994476318359375,0.0009239924256689847,0.4590600765889002,5.368359804153442,3.60787034034729,15,464,44.82236905164214,65.36724137931034,7.791803561104419,121574,40.0,-0.1734962910413742,-0.17519573867321014,0.0008865834097377956,1.5641850233078003,77.80000000000001,0.11850976943969727
-0.003724008798599243,0.0007474084268324077,0.4548183270810677,5.5970799922943115,3.7298967838287354,16,520,47.55152322474558,67.29076923076923,7.100611524627203,129135,39.99999999999998,-0.1791490763425827,-0.17542506754398346,0.0008526435121893883,1.5638763904571533,76.6,0.12456059455871582
-0.00022374093532562256,0.0006649490678682923,0.5023948773106892,5.686593532562256,3.8558382987976074,17,552,49.23112790650553,68.88260869565217,4.609157756433655,136706,50.00000000000001,-0.17298363149166107,-0.17275989055633545,0.0006881615845486522,1.5651865005493164,77.9,0.12987565994262695
0.0010506659746170044,0.0007558927754871547,0.3402161611403242,5.8836753368377686,3.8029093742370605,18,536,49.88096649276423,68.24776119402986,5.259032264674002,144280,49.99999999999999,-0.17291784286499023,-0.17396850883960724,0.0006725595449097455,1.5637385845184326,75.20000000000002,0.13049554824829102
