NumTrajs,dLoss,ProcessExecTime,Entropy,AverageReturn,MaxReturn,KL,AverageDiscountedReturn,TotalEnvSteps,EnvExecTime,MinReturn,LossBefore,StdReturn,GradNorm,LossAfter,PolicyExecTime,Iteration,KLBefore
304,-0.0034396350383758545,0.1923999786376953,1.5493135452270508,-92.91315789473683,-39.49999999999998,0.0013409965904429555,-50.091178287603526,7572,5.900728225708008,-212.0,-0.1800382286310196,43.34877021901988,0.4935044182056208,-0.17659859359264374,9.008280038833618,0,0.0
304,0.0014425218105316162,0.18354201316833496,1.5500999689102173,-81.26315789473684,-18.999999999999986,0.0013140212977305055,-44.734656898763184,15172,6.093762636184692,-168.0,-0.1733272820711136,31.809411227799863,0.40605744059184457,-0.1747698038816452,8.976418733596802,1,0.001344007789157331
304,-0.0020552128553390503,0.18277955055236816,1.5483113527297974,-93.34210526315788,-15.499999999999982,0.0011075445218011737,-52.108910418533156,22772,6.213639497756958,-182.49999999999997,-0.17605988681316376,39.89576967139662,0.42048691811243144,-0.1740046739578247,8.859103679656982,2,0.0013367460342124104
304,-0.005186170339584351,0.17816662788391113,1.5462634563446045,-68.09210526315789,-5.499999999999984,0.0014396788319572806,-41.474900204266035,30372,5.793676376342773,-153.5,-0.18109403550624847,32.58387057861077,0.3627891335771859,-0.17590786516666412,8.720287084579468,3,0.0010902247158810496
312,0.0025488436222076416,0.1856076717376709,1.54654860496521,-76.45128205128204,-4.499999999999989,0.0011772620491683483,-44.455527089896634,37948,5.953282117843628,-179.5,-0.17039605975151062,38.991997021051354,0.3348113652062381,-0.17294490337371826,8.7618727684021,4,0.001423356938175857
304,0.0007637441158294678,0.17477846145629883,1.5434398651123047,-78.53684210526315,-2.499999999999986,0.00134457484818995,-43.30795261354678,45492,5.986098289489746,-198.0,-0.17471839487552643,41.420757706433484,0.4119983222321563,-0.1754821389913559,8.69891619682312,5,0.0012141980696469545
304,-0.0014711618423461914,0.18253302574157715,1.540023922920227,-63.999999999999986,10.999999999999984,0.0013118220958858728,-37.63494662100404,53092,5.829072952270508,-136.0,-0.17496511340141296,35.26329536501091,0.4339619895361536,-0.17349395155906677,8.717655897140503,6,0.0013130279257893562
304,-0.004774227738380432,0.1807241439819336,1.5374231338500977,-78.42105263157895,-17.999999999999986,0.0013459305046126246,-45.740542928213706,60692,6.185422658920288,-179.5,-0.17819584906101227,36.71324268388249,0.4057763071370912,-0.17342162132263184,8.810192584991455,7,0.001352596329525113
304,-0.003033086657524109,0.17609119415283203,1.5373027324676514,-63.802631578947356,-8.499999999999995,0.0012004508171230555,-38.566173609157396,68292,5.801541328430176,-174.50000000000003,-0.17770032584667206,34.205558849881214,0.38784174324264076,-0.17466723918914795,8.63259482383728,8,0.0013293866068124771
312,0.0018367022275924683,0.17865252494812012,1.5376183986663818,-68.66923076923075,25.400000000000006,0.001119722961448133,-41.43976364871123,75928,6.232385873794556,-152.00000000000003,-0.17031937837600708,35.757854821836915,0.43919123531896176,-0.17215608060359955,8.840614795684814,9,0.001162847620435059
304,-0.00030775368213653564,0.1777935028076172,1.5325202941894531,-58.09210526315788,0.5000000000000209,0.0011335485614836216,-33.52748831220871,83528,6.139742612838745,-127.0,-0.170802503824234,27.012145236998663,0.4149034360445157,-0.17049475014209747,8.858740091323853,10,0.0011452955659478903
304,0.0025898367166519165,0.18178677558898926,1.5317974090576172,-61.53947368421051,-3.9999999999999813,0.0011695829452946782,-36.71620871756315,91128,6.0565879344940186,-109.99999999999997,-0.1693093329668045,23.85989301023443,0.3092678094101776,-0.17189916968345642,8.857828855514526,11,0.0011422228999435902
304,0.0029746592044830322,0.17969536781311035,1.5319607257843018,-52.36842105263157,20.00000000000002,0.001306107616983354,-29.36575689389939,98728,5.759009122848511,-122.5,-0.17227274179458618,30.600284701661103,0.375469642587537,-0.1752474009990692,8.739901065826416,12,0.0011658690636977553
304,0.0013956427574157715,0.17561888694763184,1.5300825834274292,-57.60263157894736,12.500000000000012,0.0013124165125191212,-33.162190819955065,106302,5.846575021743774,-158.0,-0.17193011939525604,35.59454043619984,0.37503764500305486,-0.17332576215267181,8.74975299835205,13,0.0013233944773674011
304,0.002154707908630371,0.1768193244934082,1.5295507907867432,-53.67105263157894,7.000000000000012,0.001306836144067347,-30.4521800421534,113902,6.086019515991211,-150.5,-0.17174968123435974,35.911125001759096,0.3569642441063162,-0.1739043891429901,8.819662809371948,14,0.0012623282382264733
304,0.0017809420824050903,0.17742085456848145,1.5274395942687988,-51.355263157894726,17.50000000000002,0.0011649937368929386,-29.888381733636066,121502,5.850368976593018,-139.0,-0.16996431350708008,28.793024533258976,0.5009870302062305,-0.17174525558948517,8.675428628921509,15,0.0013059473130851984
304,-0.0003269314765930176,0.17425084114074707,1.525186538696289,-58.2894736842105,2.0000000000000053,0.0012584262294694781,-35.894550736203634,129102,6.050293684005737,-123.0,-0.17367057502269745,30.738847266967234,0.5192352850551426,-0.17334364354610443,8.6781005859375,16,0.0011793844169005752
304,-0.002618834376335144,0.18034911155700684,1.5237675905227661,-54.855263157894726,4.499999999999993,0.0014482751721516252,-31.16000690902435,136702,5.884455680847168,-99.99999999999997,-0.17707310616970062,28.89680092809784,0.46573148405725645,-0.17445427179336548,8.598249435424805,17,0.0012699852231889963
304,-0.0008736103773117065,0.17934536933898926,1.5222070217132568,-52.53947368421051,-7.999999999999991,0.0013577127829194069,-29.200509477349208,144302,5.947034597396851,-136.5,-0.1742781549692154,27.55147851103538,0.4162427889103895,-0.1734045445919037,8.633915185928345,18,0.001484458800405264
304,-0.0017068088054656982,0.17816472053527832,1.5211461782455444,-46.17894736842104,12.200000000000017,0.0011733289575204253,-25.741370608014968,151840,5.724975824356079,-122.50000000000001,-0.1735670417547226,27.1111373297584,0.3870001491244171,-0.1718602329492569,8.489285469055176,19,0.001336553948931396
304,-0.001941487193107605,0.17491459846496582,1.5222362279891968,-49.855263157894726,4.999999999999989,0.001352933468297124,-29.01623050176302,159440,5.888051748275757,-105.0,-0.1759614497423172,28.158598736895353,0.43501173393731024,-0.1740199625492096,8.528148174285889,20,0.0011529442854225636
304,-0.0010751336812973022,0.17452716827392578,1.5194483995437622,-44.7236842105263,5.500000000000016,0.0011457197833806276,-24.64595935974879,167040,5.706712484359741,-110.5,-0.1721256971359253,25.622435011143597,0.44213517514179557,-0.171050563454628,8.425036668777466,21,0.0013888694811612368
304,-4.7832727432250977e-05,0.17695975303649902,1.516944169998169,-48.93421052631578,7.000000000000017,0.0012870391365140676,-28.00084266730652,174640,5.83558988571167,-121.99999999999997,-0.17205418646335602,29.02634263013503,0.4750054499865535,-0.17200635373592377,8.440062761306763,22,0.0011336971074342728
304,0.0022563636302948,0.176619291305542,1.5142520666122437,-48.14473684210525,-2.9999999999999805,0.0013165834825485945,-27.07850203193794,182240,5.8620946407318115,-105.49999999999996,-0.170197993516922,27.816576820007516,0.47443435994045513,-0.1724543571472168,8.420095205307007,23,0.0012844025623053312
304,-0.0013035684823989868,0.17911434173583984,1.5137184858322144,-34.14473684210525,12.499999999999986,0.0012081729946658015,-19.385343433069018,189840,5.552140712738037,-81.99999999999997,-0.17239342629909515,22.71705477306261,0.43891667945900553,-0.17108985781669617,8.385292053222656,24,0.001284332829527557
