KL,LossAfter,EvalAvgReturn,Iteration,MinReturn,LossBefore,AverageDiscountedReturn,GradNorm,dLoss,PolicyExecTime,ProcessExecTime,TotalEnvSteps,EnvExecTime,NumTrajs,StdReturn,KLBefore,AverageReturn,Entropy,MaxReturn
0.000982486642897129,-0.21497760713100433,-3.4000000000000257,0,10.00000000000001,-0.2103186547756195,23.669156735432583,0.23275734757672123,0.004658952355384827,4.598358154296875,0.14191007614135742,7608,5.272124290466309,312,12.464466786886385,0.0,38.44102564102565,1.5754817724227905,70.49999999999999
0.0008764055673964322,-0.20970840752124786,,1,9.999999999999991,-0.2081456333398819,22.43690383526929,0.24100939003619262,0.0015627741813659668,4.668179750442505,0.1429424285888672,15300,5.4091386795043945,312,15.602024093640559,0.0009510834934189916,36.430769230769236,1.5736066102981567,65.50000000000001
0.000910785049200058,-0.20881858468055725,,2,20.000000000000018,-0.2046762853860855,26.648865767469722,0.24701728585551236,0.004142299294471741,4.678321123123169,0.1434791088104248,22973,5.167330980300903,312,10.679980596229177,0.0008175478433258832,40.58205128205129,1.574021577835083,65.30000000000001
0.000941743201110512,-0.20883800089359283,,3,7.105427357601002e-15,-0.20278164744377136,24.247625562629253,0.2710721071483373,0.006056353449821472,4.693289041519165,0.14643192291259766,30672,5.3013482093811035,312,12.08496601905807,0.0009234435856342316,38.46410256410257,1.5754351615905762,69.1
0.0009310500463470817,-0.2110186517238617,,4,-10.0,-0.20836693048477173,26.42855174920698,0.27288489154650003,0.002651721239089966,4.6245036125183105,0.1443312168121338,38272,5.151072025299072,312,16.288864716147653,0.0008711418486200273,38.71794871794872,1.5767972469329834,66.6
0.0008964691078290343,-0.21213802695274353,,5,-9.999999999999996,-0.21097615361213684,26.839212276260277,0.24729682259558633,0.0011618733406066895,4.583521842956543,0.1466665267944336,45970,5.186557054519653,320,13.874399987026466,0.0009027913329191506,44.50500000000001,1.5769667625427246,69.9
0.0010155726922675967,-0.2120937705039978,,6,7.105427357601002e-15,-0.21149158477783203,24.094006950684104,0.2643751046838558,0.0006021857261657715,4.50440239906311,0.14167141914367676,53548,5.274523019790649,312,15.20298207710638,0.0009009373025037348,39.54358974358975,1.5762444734573364,68.79999999999998
0.0010378471342846751,-0.21492742002010345,,7,20.0,-0.20806849002838135,25.406720640535134,0.2722683343578614,0.006858929991722107,4.534732103347778,0.14448332786560059,61185,5.218289613723755,312,13.342523460027857,0.0009865089086815715,42.72564102564103,1.5756382942199707,66.60000000000001
0.001032890286296606,-0.21330025792121887,,8,10.000000000000004,-0.208307147026062,24.735706372193455,0.28278003925259604,0.00499311089515686,4.425608158111572,0.1403968334197998,68732,5.161036014556885,312,15.150097154374366,0.0010150147136300802,41.16153846153847,1.5761009454727173,70.2
0.0009761874098330736,-0.21353976428508759,,9,20.000000000000007,-0.21327994763851166,28.054029677363115,0.2642372253675342,0.00025981664657592773,4.418911457061768,0.13950610160827637,76243,5.003706216812134,312,11.654641308801308,0.0009430511854588985,45.35641025641026,1.5761157274246216,71.69999999999999
0.000931681483052671,-0.21438130736351013,,10,1.7763568394002505e-15,-0.21424545347690582,27.79087530454907,0.27571813543355617,0.00013585388660430908,4.470623254776001,0.14066720008850098,83813,5.116686105728149,320,14.206261823576247,0.0009076444548554718,43.575,1.5759235620498657,68.4
0.0009538519661873579,-0.21273814141750336,,11,20.00000000000001,-0.21576792001724243,29.65018292336709,0.25762718071338636,-0.0030297785997390747,4.4810614585876465,0.14196109771728516,91461,4.965236663818359,320,11.738786138268296,0.0009029732318595052,47.13000000000001,1.5759745836257935,72.0
0.0009510894888080657,-0.21542476117610931,,12,5.329070518200751e-15,-0.21431323885917664,28.228788441960553,0.264563114349509,0.0011115223169326782,4.465914011001587,0.14022421836853027,99146,5.093563795089722,328,14.487254239351145,0.0009166852687485516,45.646341463414636,1.5754603147506714,70.39999999999998
0.0008685510256327689,-0.21207939088344574,,13,30.000000000000007,-0.2162080705165863,30.84173190392745,0.26403681919109695,-0.004128679633140564,4.4380810260772705,0.14126801490783691,106708,4.860580205917358,320,10.264671207593548,0.0008972884388640523,49.84500000000001,1.5767128467559814,68.39999999999999
0.0010805660858750343,-0.21526427567005157,,14,20.0,-0.2160779982805252,28.586115749227986,0.27250835826913583,-0.0008137226104736328,4.528991460800171,0.14281606674194336,114393,5.011613845825195,320,12.685487525120978,0.0008640169980935752,46.2875,1.5751121044158936,68.29999999999998
0.0010054134763777256,-0.2147218883037567,,15,10.000000000000012,-0.21888510882854462,32.958647820389565,0.2761396351622241,-0.004163220524787903,4.39694356918335,0.13819146156311035,121917,4.741492748260498,328,13.20751773376382,0.0009456476545892656,49.94146341463416,1.5751714706420898,69.8
0.000984904239885509,-0.21685226261615753,,16,30.000000000000004,-0.21040676534175873,34.47862832646928,0.2781019600463901,0.006445497274398804,4.448890686035156,0.13924503326416016,129524,4.7210376262664795,336,11.000090960250592,0.0009500368614681065,51.888095238095254,1.5747699737548828,72.49999999999997
0.0009783292189240456,-0.2148887664079666,,17,20.000000000000014,-0.21461798250675201,32.2766095326575,0.26971891120312147,0.0002707839012145996,4.448916912078857,0.14074945449829102,137165,4.838082790374756,328,11.940139214001329,0.0010100946528837085,50.38780487804878,1.5707824230194092,70.7
0.001012612134218216,-0.21586108207702637,,18,30.000000000000004,-0.21261601150035858,33.481659969077725,0.2685614063685538,0.0032450705766677856,4.425262689590454,0.13942456245422363,144757,4.877520322799683,352,11.802197232046758,0.0008862236863933504,54.56363636363638,1.5724607706069946,76.1
