TotalEnvSteps,KLBefore,AverageReturn,KL,NumTrajs,GradNorm,AverageDiscountedReturn,LossAfter,MaxReturn,PolicyExecTime,MinReturn,LossBefore,Iteration,Entropy,ProcessExecTime,EnvExecTime,StdReturn,dLoss
7572,0.0,22.968421052631584,0.0012488975189626217,304,0.26330391912426493,19.770382245080842,-0.1744672656059265,62.800000000000004,5.725847959518433,-9.999999999999996,-0.177080437541008,0,1.552340030670166,0.16704678535461426,6.057279109954834,15.387111921877962,-0.002613171935081482
15124,0.0012757041258737445,23.021052631578954,0.001323733595199883,304,0.2864599929884736,18.90303198527635,-0.17366278171539307,63.400000000000006,5.801811218261719,-9.999999999999996,-0.1780211180448532,1,1.5549694299697876,0.15761256217956543,6.11436915397644,17.584909168685353,-0.004358336329460144
22724,0.001306772930547595,21.315789473684216,0.001464314991608262,304,0.27928960825994587,17.854759540418716,-0.17677119374275208,50.00000000000002,5.760050535202026,-9.999999999999996,-0.1776377111673355,2,1.5588150024414062,0.15555119514465332,6.16559910774231,14.173929483679192,-0.0008665174245834351
30324,0.0014186985790729523,28.94736842105263,0.0013533440651372075,304,0.29552807368876605,22.87336645919045,-0.1742277294397354,50.00000000000002,5.897811651229858,3.552713678800501e-15,-0.17205305397510529,3,1.5618867874145508,0.1579132080078125,5.9817421436309814,12.729880655208236,0.002174675464630127
37967,0.0012945204507559538,29.889743589743592,0.0013496418250724673,312,0.32502150239950434,23.382570855897395,-0.17515595257282257,69.89999999999999,5.861457347869873,3.552713678800501e-15,-0.1753147393465042,4,1.5676734447479248,0.15958809852600098,6.037215232849121,16.387280791184534,-0.00015878677368164062
45604,0.0013322026934474707,40.417948717948725,0.0013977887574583292,312,0.31506381170677017,31.78257859349855,-0.1770952343940735,70.2,5.75299859046936,19.999999999999986,-0.17276093363761902,5,1.5677293539047241,0.15986061096191406,5.447542905807495,11.732529222042794,0.004334300756454468
53128,0.0013277310645207763,46.940000000000005,0.0012840928975492716,320,0.2620729838394216,35.090340590911964,-0.17459231615066528,73.1,5.555763483047485,19.999999999999993,-0.18086305260658264,6,1.5721231698989868,0.1526012420654297,5.253906726837158,13.353647441804052,-0.006270736455917358
60786,0.0013107027625665069,43.855000000000004,0.0016383196925744414,320,0.3075156626562663,33.80575572118879,-0.17434634268283844,69.1,5.676634073257446,19.999999999999993,-0.18084003031253815,7,1.570952296257019,0.15540742874145508,5.449810981750488,11.427028266351662,-0.006493687629699707
68357,0.0015237567713484168,47.87560975609756,0.0013143144315108657,328,0.2868804175943052,36.19188184629262,-0.17763949930667877,74.00000000000003,5.543190240859985,20.000000000000014,-0.18045541644096375,8,1.5707544088363647,0.1546947956085205,5.282591342926025,12.12398913035951,-0.002815917134284973
75933,0.0012227499391883612,54.14545454545455,0.001250809640623629,352,0.31542119758426185,38.559987942777184,-0.17677608132362366,75.2,5.58957314491272,29.999999999999996,-0.17752112448215485,9,1.5739271640777588,0.15314531326293945,5.290077447891235,12.153739689073157,-0.000745043158531189
83581,0.0011154375970363617,58.025,0.0011168892960995436,384,0.30009231756075777,42.695840589404334,-0.17580144107341766,75.70000000000002,5.585710048675537,29.999999999999996,-0.17545336484909058,10,1.5757533311843872,0.15386748313903809,5.151791095733643,11.435680638539477,0.0003480762243270874
91195,0.0010162773542106152,60.772000000000006,0.001112597994506359,400,0.3321696614278245,44.13771257418007,-0.17713937163352966,76.10000000000005,5.578116416931152,39.999999999999986,-0.18019314110279083,11,1.5751501321792603,0.15388011932373047,5.145881414413452,9.655154892594943,-0.0030537694692611694
98762,0.0009408165351487696,65.22166666666666,0.0008827430428937078,480,0.2548570122484724,49.476072950192055,-0.17471352219581604,76.70000000000002,5.483328819274902,39.99999999999999,-0.17317600548267365,12,1.5779958963394165,0.1545252799987793,5.101887941360474,9.115373308622946,0.001537516713142395
106382,0.0008238694281317294,66.31746031746032,0.0008331953431479633,504,0.3294761757022563,49.88943377003844,-0.17323525249958038,77.10000000000002,5.537185430526733,40.000000000000014,-0.17003683745861053,13,1.577219843864441,0.15618181228637695,5.197784185409546,8.411340411507942,0.0031984150409698486
113947,0.0007390932296402752,68.13970588235296,0.0007825085194781423,544,0.3240941820346034,50.89229078458447,-0.17485207319259644,76.20000000000002,5.509719371795654,50.00000000000001,-0.17660261690616608,14,1.578264594078064,0.1515963077545166,5.163716554641724,6.4672964554678165,-0.0017505437135696411
121500,0.0006895250990055501,70.18846153846155,0.0007883211364969611,624,0.33456113304790613,54.076851166813796,-0.17603124678134918,76.50000000000003,5.550898790359497,49.99999999999999,-0.1779523342847824,15,1.5798472166061401,0.1515789031982422,5.204286813735962,4.750788889125004,-0.0019210875034332275
129006,0.0007662082207389176,70.24556962025318,0.0007934815948829055,632,0.28834058497990883,53.339490509261054,-0.17606665194034576,77.80000000000003,5.466716766357422,49.99999999999999,-0.17452368140220642,16,1.576922059059143,0.14974427223205566,5.254075288772583,4.897372001761156,0.0015429705381393433
136580,0.0007775219855830073,70.1575,0.0006255661137402058,640,0.2632069898586851,54.9671681799785,-0.17323365807533264,78.30000000000001,5.568221807479858,49.99999999999998,-0.17107301950454712,17,1.5767405033111572,0.15036940574645996,5.169489145278931,5.248684954348093,0.0021606385707855225
144097,0.0005790850846096873,71.25930232558139,0.0006872145459055901,688,0.36755425372803907,55.78769230531522,-0.1714509129524231,77.70000000000005,5.479465961456299,61.90000000000002,-0.17132677137851715,18,1.5768216848373413,0.1499946117401123,5.158766984939575,3.7842199253588613,0.00012414157390594482
