KL,AverageDiscountedReturn,KLBefore,MinReturn,Iteration,ProcessExecTime,AverageReturn,Entropy,MaxReturn,LossBefore,TotalEnvSteps,NumTrajs,LossAfter,EnvExecTime,dLoss,GradNorm,StdReturn,PolicyExecTime
0.001093672588467598,42.39493547405346,0.0,40.000000000000014,0,0.1033022403717041,69.66153846153848,1.5821788311004639,101.20000000000002,-0.18240424990653992,5188,312,-0.18282334506511688,4.918133974075317,0.00041909515857696533,0.42280609567594657,15.153650916352621,3.7854156494140625
0.0011248973896726966,44.636474487293725,0.0010692630894482136,30.00000000000002,1,0.07612824440002441,72.96538461538464,1.5808385610580444,107.10000000000001,-0.18535616993904114,10317,312,-0.18326455354690552,4.070030927658081,-0.00209161639213562,0.37954426292756427,18.3426560929539,3.049586057662964
0.0009653809829615057,51.2508367657502,0.0010836145374923944,30.000000000000004,2,0.07503437995910645,78.02692307692308,1.5819542407989502,108.5,-0.17443260550498962,15330,312,-0.17808736860752106,3.857910394668579,0.003654763102531433,0.4245865558564061,21.18505564874062,2.9814062118530273
0.0010344530455768108,56.89057562347804,0.0009055088157765567,40.00000000000002,3,0.07874274253845215,86.79629629629632,1.5826759338378906,108.5,-0.1875922679901123,20395,324,-0.181735098361969,3.839597463607788,-0.0058571696281433105,0.4728931391988292,16.101586797383973,3.0740513801574707
0.000964952225331217,59.587447737634996,0.0010113887256011367,70.00000000000001,4,0.07503223419189453,87.54642857142858,1.5818880796432495,112.10000000000005,-0.18309539556503296,25482,336,-0.18151432275772095,3.7028255462646484,-0.0015810728073120117,0.4114807453472181,12.146589237396679,2.956284523010254
0.0009822864085435867,57.44481201995515,0.0009908793726935983,70.00000000000003,5,0.07622599601745605,89.79259259259261,1.581072211265564,110.80000000000001,-0.18207266926765442,30538,324,-0.181581512093544,3.7723488807678223,-0.0004911571741104126,0.4692836314867456,11.378762737073474,3.045783281326294
0.0009415522217750549,62.156078929266926,0.0008918468374758959,70.0,6,0.0766143798828125,91.24827586206898,1.5799341201782227,113.00000000000006,-0.17793606221675873,35676,348,-0.18049785494804382,3.753582000732422,0.002561792731285095,0.43286561312680877,13.299925348238906,3.030406951904297
0.0009709431906230748,62.27294895563403,0.0009469762444496155,70.00000000000003,7,0.07454299926757812,92.48928571428573,1.5790830850601196,110.00000000000003,-0.19001944363117218,40679,336,-0.1798415333032608,3.556067943572998,-0.010177910327911377,0.4426431614507651,11.255041387425155,2.924663782119751
0.0009829096961766481,64.07052203667018,0.0008973967051133513,80.00000000000001,8,0.07638931274414062,98.44000000000003,1.5804853439331055,112.0,-0.18066254258155823,45747,360,-0.1839613914489746,3.660454750061035,0.003298848867416382,0.46852993921850067,8.87707158921229,3.005176067352295
0.0009825880406424403,66.45478520452328,0.0009527148213237524,80.0,9,0.07733583450317383,97.81666666666668,1.580134391784668,113.20000000000005,-0.18316853046417236,50802,360,-0.18145044147968292,3.641120433807373,-0.001718088984489441,0.38588214142958616,9.732011896599568,3.044768810272217
0.0009494680562056601,65.03593773051686,0.0010221999837085605,59.999999999999986,10,0.07620549201965332,94.22142857142858,1.5766664743423462,108.50000000000004,-0.18710418045520782,55820,336,-0.1778687834739685,3.5900344848632812,-0.009235396981239319,0.4294113395072421,13.037729785479671,3.000577211380005
0.0007869117544032633,68.27363693656461,0.0008635898702777922,80.00000000000001,11,0.07900691032409668,99.73125000000002,1.5772944688796997,111.70000000000005,-0.18120455741882324,61006,384,-0.17663979530334473,3.698129653930664,-0.004564762115478516,0.42645892972375027,9.072156493221446,3.1003942489624023
0.000987646752037108,69.98332312423507,0.0007958086207509041,80.00000000000001,12,0.07953071594238281,98.50333333333332,1.5761336088180542,111.2,-0.1784813404083252,66055,360,-0.18095165491104126,3.5793159008026123,0.0024703145027160645,0.4123126447521253,9.0913322578279,3.041449546813965
0.0009721465175971389,71.92833593188993,0.000909698661416769,80.0,13,0.07832598686218262,100.05757575757578,1.5769685506820679,111.60000000000002,-0.18662463128566742,71136,396,-0.18219108879566193,3.568998098373413,-0.004433542490005493,0.40435885117859327,9.9346052765994,3.029287099838257
0.0007322876481339335,73.62321011309031,0.0008833891479298472,80.00000000000004,14,0.0807044506072998,104.80540540540542,1.5784891843795776,116.70000000000002,-0.18063999712467194,76258,444,-0.17884182929992676,3.789781093597412,-0.0017981678247451782,0.3903756361944539,7.147819397056965,3.150273561477661
0.0008775382302701473,72.81215498333819,0.0008043605484999716,80.00000000000001,15,0.07903361320495605,101.20303030303032,1.5722551345825195,111.60000000000002,-0.18136516213417053,81361,396,-0.18102174997329712,3.5631790161132812,-0.0003434121608734131,0.46511497242287436,8.562231543183223,3.0668275356292725
0.0008394426549784839,73.35950188792734,0.0008189182844944298,89.99999999999997,16,0.08029365539550781,104.66944444444444,1.5720531940460205,114.00000000000003,-0.18064725399017334,86480,432,-0.18049973249435425,3.7229347229003906,-0.0001475214958190918,0.5179355941202267,5.885991818832074,3.1059300899505615
0.0006935150013305247,77.73873452278245,0.0007454291917383671,89.99999999999999,17,0.08052873611450195,106.22250000000001,1.574392318725586,113.40000000000002,-0.1859268695116043,91591,480,-0.17900127172470093,3.7085201740264893,-0.006925597786903381,0.39344503696154576,6.392592881609157,3.130707025527954
0.0007131538586691022,81.23601014516689,0.0006479492876678705,89.99999999999999,18,0.07636451721191406,106.8214285714286,1.5751863718032837,113.80000000000005,-0.17791748046875,96626,504,-0.17993490397930145,3.5045218467712402,0.0020174235105514526,0.4617436322031947,6.8151629164849306,2.9796929359436035
