Entropy,EnvExecTime,LossBefore,KLBefore,MinReturn,TotalEnvSteps,dLoss,PolicyExecTime,LossAfter,AverageDiscountedReturn,Iteration,StdReturn,KL,MaxReturn,ProcessExecTime,NumTrajs,AverageReturn,GradNorm
1.5805587768554688,3.96600079536438,-0.18408292531967163,0.0,-273.0,5117,-0.0002865642309188843,3.3875765800476074,-0.18379636108875275,-77.67087509822885,0,69.05169573351165,0.0009925942867994308,-44.999999999999986,0.16857552528381348,336,-134.72142857142856,0.43349577689113267
1.5792646408081055,3.6988022327423096,-0.18679888546466827,0.0009848608169704676,-285.0,10266,-0.005262255668640137,3.1681714057922363,-0.18153662979602814,-72.53739996218162,1,57.051862706359614,0.0011001067468896508,-8.0,0.07998108863830566,336,-126.06785714285715,0.4814720630639769
1.5772747993469238,3.7819721698760986,-0.18223126232624054,0.0011384815443307161,-261.50000000000006,15330,5.252659320831299e-05,3.1177737712860107,-0.18228378891944885,-83.50202763905972,2,54.29920713737541,0.0011224477784708142,-43.49999999999999,0.07996916770935059,324,-140.95925925925926,0.3852523285120425
1.5764142274856567,3.934321880340576,-0.17810828983783722,0.0011634384281933308,-281.5,20449,0.004437834024429321,3.2288737297058105,-0.18254612386226654,-84.75510217235188,3,73.43841479890199,0.0011184224858880043,-4.099999999999978,0.08171319961547852,324,-148.68148148148146,0.3872921923446902
1.5783822536468506,3.714616298675537,-0.18741567432880402,0.0010353777324780822,-279.50000000000006,25622,-0.0070571452379226685,3.126871109008789,-0.18035852909088135,-72.82275896738261,4,62.67666740770847,0.0010845576180145144,-37.0,0.07981276512145996,348,-129.2862068965517,0.38751853029141287
1.578902006149292,3.8725576400756836,-0.18007932603359222,0.0010493149748072028,-238.2,30809,0.0015216022729873657,3.1818573474884033,-0.1816009283065796,-78.98478783949523,5,59.022474156507165,0.000891915406100452,5.1000000000000165,0.0814816951751709,360,-131.15666666666667,0.42222767043785614
1.5784858465194702,3.63999605178833,-0.17929036915302277,0.0008548719342797995,-267.0,35878,0.0010223239660263062,3.086737871170044,-0.18031269311904907,-68.06418873589045,6,68.89225758788542,0.0009519725572317839,49.60000000000002,0.07847428321838379,360,-109.54666666666665,0.4055991487195928
1.5743889808654785,3.791200637817383,-0.1751808077096939,0.0010597944492474198,-242.5,41018,0.004813045263290405,3.190739631652832,-0.17999385297298431,-75.80940027031053,7,53.88443687859147,0.0009811759227886796,-19.29999999999997,0.08084607124328613,324,-131.40740740740742,0.38988577252274104
1.576532244682312,3.6211323738098145,-0.17769281566143036,0.0008782076183706522,-254.50000000000003,46095,0.0033569633960723877,3.0867300033569336,-0.18104977905750275,-59.97710238867366,8,57.99390015816798,0.0008607149939052761,-6.799999999999997,0.08063983917236328,360,-97.95666666666666,0.4265944647080568
1.57505202293396,3.7323787212371826,-0.17935456335544586,0.0008666498470120132,-243.50000000000003,51142,0.0022428184747695923,3.2659130096435547,-0.18159738183021545,-56.23572697514663,9,62.41561113755275,0.0009062476456165314,2.9000000000000163,0.08291077613830566,348,-93.6103448275862,0.42136294797586177
1.5734258890151978,3.647599935531616,-0.18073450028896332,0.0009270855225622654,-276.0,56218,0.00070914626121521,3.137869119644165,-0.18144364655017853,-67.68499769091132,10,67.16397596228964,0.0009542051120661199,11.300000000000015,0.08138632774353027,348,-111.64137931034485,0.42614048369612767
1.57025945186615,3.6261398792266846,-0.18164104223251343,0.0009715844062156975,-202.0,61233,0.0009002834558486938,3.140279531478882,-0.18254132568836212,-56.102627257944825,11,55.48823831981634,0.0009727315627969801,-3.999999999999975,0.08108663558959961,336,-96.64285714285714,0.4343526295878447
1.5694246292114258,3.787778377532959,-0.1847006380558014,0.0009776141960173845,-207.5,66397,-0.003564894199371338,3.197018623352051,-0.18113574385643005,-65.93990235827961,12,55.92781316460134,0.0010152286849915981,-9.19999999999999,0.08184576034545898,348,-115.96206896551725,0.3886593671631348
1.5703901052474976,3.547393798828125,-0.1833777129650116,0.0009546181536279619,-210.0,71405,-0.0030569136142730713,3.0962231159210205,-0.18032079935073853,-58.97913462197491,13,70.9853365307098,0.0009578430908732116,55.999999999999986,0.07950949668884277,348,-101.76896551724138,0.3940982493572075
1.5680643320083618,3.6865110397338867,-0.18101027607917786,0.0009973994456231594,-279.5,76524,-0.0003481060266494751,3.0816256999969482,-0.18066217005252838,-62.72431825281464,14,67.06342553132255,0.0009192863362841308,50.000000000000014,0.07826447486877441,348,-108.96206896551725,0.35762220669329997
1.5705838203430176,3.5725982189178467,-0.1829216629266739,0.0008674585842527449,-232.5,81716,-0.0037902891635894775,3.1075119972229004,-0.1791313737630844,-46.18468266274237,15,55.77730532115091,0.0008410304435528815,55.000000000000014,0.07937407493591309,360,-81.35666666666664,0.4202634289699247
1.569429636001587,3.6803665161132812,-0.17354027926921844,0.0008422269020229578,-242.50000000000003,86860,0.006626144051551819,3.227539539337158,-0.18016642332077026,-46.68961669983904,16,56.44395292874361,0.0009480285807512701,32.60000000000001,0.08454108238220215,360,-81.31333333333332,0.38068840161888834
1.5686345100402832,3.400261402130127,-0.17643044888973236,0.0009727686992846429,-157.0,91899,0.002454206347465515,3.1149163246154785,-0.17888465523719788,-36.12298634565058,17,48.094064268443184,0.00088967737974599,23.100000000000023,0.07958388328552246,336,-69.675,0.43793335946630507
1.569553017616272,3.50730299949646,-0.17808516323566437,0.0008792724693194032,-158.0,96990,0.001068711280822754,3.082798957824707,-0.17915387451648712,-38.523129585086195,18,44.98111163900486,0.0007954228203743696,36.10000000000001,0.07938313484191895,348,-72.0551724137931,0.4233262891150119
