EnvExecTime,KL,dLoss,NumTrajs,LossAfter,AverageReturn,Iteration,StdReturn,Entropy,GradNorm,MinReturn,MaxReturn,AverageDiscountedReturn,KLBefore,PolicyExecTime,TotalEnvSteps,LossBefore,ProcessExecTime
4.796020984649658,0.001086919684894383,-0.0006207525730133057,312,-0.1780763417482376,41.03076923076923,0,13.84326465583032,1.5902653932571411,0.3921102106084035,10.000000000000005,66.80000000000001,21.53615026509216,0.0,6.929796457290649,7598,-0.17869709432125092,0.13939213752746582
4.498811960220337,0.001210238435305655,0.001033201813697815,312,-0.17842496931552887,40.05897435897436,1,14.013943934135249,1.5883909463882446,0.3638693481347211,10.000000000000004,67.59999999999997,24.959718919737426,0.00110212666913867,6.8003315925598145,15275,-0.17739176750183105,0.12734532356262207
4.717617988586426,0.0012556270230561495,-0.0020782500505447388,320,-0.1780441403388977,42.0875,2,14.63301383003515,1.5875682830810547,0.2907503119552931,8.881784197001252e-15,72.5,25.602538402052062,0.0011783349327743053,6.99118709564209,22940,-0.18012239038944244,0.13135528564453125
4.404891014099121,0.0011496746446937323,0.0036175549030303955,312,-0.1772938370704651,45.13333333333333,3,10.519757561146507,1.587224006652832,0.39824549456817826,29.999999999999996,68.3,28.68323113294101,0.001256622956134379,6.677891492843628,30538,-0.1736762821674347,0.13073134422302246
4.322450160980225,0.0010701841674745083,0.0019197165966033936,328,-0.1788400262594223,51.443902439024384,4,11.766281895697482,1.5864986181259155,0.34663209206381507,20.0,70.3,32.22239585494652,0.0010759723372757435,6.663012981414795,38046,-0.1769203096628189,0.1275172233581543
4.2644875049591064,0.0012342040427029133,-0.0022989511489868164,336,-0.17959265410900116,52.80000000000001,5,9.90567417959933,1.5849140882492065,0.33186868733506597,40.0,74.10000000000002,33.597364698434944,0.0010274403030052781,6.656468391418457,45570,-0.18189160525798798,0.1280229091644287
4.2425618171691895,0.0011226682690903544,-0.0051611363887786865,352,-0.17915908992290497,55.62045454545455,6,9.986754399190561,1.584169864654541,0.35536737472292157,39.99999999999999,74.60000000000001,37.4442610570733,0.0011709638638421893,6.809729337692261,53197,-0.18432022631168365,0.13163447380065918
4.138628005981445,0.0010941000655293465,0.00221937894821167,368,-0.1774698793888092,58.42173913043477,7,10.400228112955613,1.5826404094696045,0.377709105545078,30.000000000000007,73.6,37.71391311419192,0.0010743543971329927,6.563264846801758,60723,-0.17525050044059753,0.12685322761535645
4.128058195114136,0.0011109436163678765,-0.0002887845039367676,424,-0.17762741446495056,63.55283018867925,8,8.788749321236864,1.582423210144043,0.35256859068624996,30.000000000000018,74.10000000000002,43.149699778545,0.0009827822213992476,6.685029983520508,68240,-0.17791619896888733,0.1298508644104004
4.082430362701416,0.0009313210612162948,0.00028124451637268066,400,-0.1776469498872757,61.952,9,8.487879358237839,1.5794209241867065,0.3778022488288556,49.99999999999998,77.00000000000001,43.05478732482431,0.0011301320046186447,6.695275545120239,75764,-0.17736570537090302,0.13186883926391602
4.187917470932007,0.0008658081642352045,0.0007743388414382935,472,-0.1770104467868805,65.49830508474577,10,7.475575858447152,1.577763557434082,0.3298333028579486,49.999999999999986,76.20000000000002,45.844226712231176,0.0008151139481924474,6.827599287033081,83420,-0.1762361079454422,0.13408160209655762
4.106375217437744,0.000816329091321677,0.0020554065704345703,520,-0.17754238843917847,67.4323076923077,11,6.624270240035332,1.5779967308044434,0.37785340842715576,49.99999999999999,76.40000000000002,48.29228071257066,0.000785417971201241,6.6335954666137695,90989,-0.1754869818687439,0.13054442405700684
4.108669757843018,0.0007335017435252666,-0.0020656585693359375,512,-0.17632223665714264,67.4890625,12,6.530675625162661,1.576709270477295,0.3581461383898714,50.0,76.0,48.713578458278754,0.0008196498383767903,6.681009531021118,98496,-0.17838789522647858,0.13197970390319824
4.270061731338501,0.0008842588285915554,0.0021478980779647827,552,-0.1796349138021469,68.92608695652173,13,4.513222190759416,1.573620319366455,0.37791736759330624,50.00000000000001,76.10000000000001,50.014799232319945,0.0006801001145504415,6.903203248977661,106037,-0.17748701572418213,0.13771796226501465
4.212770223617554,0.0006892966339364648,0.0012757182121276855,576,-0.17563529312610626,69.34305555555555,14,4.260210818625744,1.5732101202011108,0.42762389148433133,50.000000000000014,77.10000000000001,51.62545373394154,0.0008607996860519052,6.907823801040649,113610,-0.17435957491397858,0.1382887363433838
4.368361949920654,0.0006636656471528113,-0.0030717700719833374,568,-0.17479677498340607,68.97605633802817,15,5.542574395206932,1.5714001655578613,0.34759150490909047,50.0,77.89999999999999,51.7172519271941,0.0006947630317881703,7.0736918449401855,121137,-0.1778685450553894,0.13959431648254395
4.183858871459961,0.0006047948845662177,-0.0024961233139038086,648,-0.1745351403951645,70.44074074074072,16,4.536403583897112,1.571400761604309,0.38853224911666845,49.99999999999998,77.30000000000001,52.9981078624703,0.000597714795731008,6.685404062271118,128680,-0.1770312637090683,0.1334211826324463
4.312673091888428,0.0006282927934080362,1.0535120964050293e-05,688,-0.17434674501419067,71.23023255813955,17,3.5188221393304797,1.5711562633514404,0.4663964205308506,61.20000000000002,76.70000000000002,53.715590178164994,0.000572170305531472,6.787419319152832,136222,-0.17433620989322662,0.13780903816223145
4.274620771408081,0.0005293555441312492,0.001796334981918335,680,-0.17286600172519684,70.90235294117647,18,4.523610647170827,1.568848967552185,0.36748075476651854,50.00000000000001,77.30000000000001,53.6491518403944,0.0006310165044851601,6.791736602783203,143755,-0.1710696667432785,0.1371448040008545
