dLoss,Entropy,AverageReturn,AverageDiscountedReturn,Iteration,PolicyExecTime,ProcessExecTime,LossAfter,LossBefore,GradNorm,EnvExecTime,KLBefore,TotalEnvSteps,MaxReturn,KL,MinReturn,NumTrajs,StdReturn
0.00044986605644226074,1.5734961032867432,-94.0179487179487,-52.38240002812537,0,4.72150731086731,0.1333320140838623,-0.17696423828601837,-0.1765143722295761,0.22300298614727868,5.197678327560425,0.0,7622,-9.49999999999999,0.001234461204148829,-167.49999999999997,312,34.80312299422591
0.0007898807525634766,1.5717593431472778,-91.64615384615384,-52.96815629559929,1,4.311067581176758,0.11942529678344727,-0.1745767742395401,-0.17378689348697662,0.25295031644791316,4.800213098526001,0.0012495392002165318,15274,-12.200000000000001,0.0012469958746805787,-175.5,312,42.08756346033366
0.0002720057964324951,1.571547508239746,-87.7051282051282,-51.10032585664309,2,4.2559120655059814,0.11607646942138672,-0.1755313128232956,-0.1752593070268631,0.25379281748588284,4.804670333862305,0.0012151049450039864,22899,-11.000000000000005,0.001262584701180458,-210.5,312,40.557448642243
-0.00043351948261260986,1.5679153203964233,-87.41842105263157,-51.340168603549564,3,4.205824375152588,0.11574363708496094,-0.1753809154033661,-0.1758144348859787,0.29329023048881725,4.714416742324829,0.001286108628846705,30493,-2.0000000000000018,0.0013350257650017738,-172.0,304,41.058769531022996
-0.00028330087661743164,1.5665050745010376,-76.36842105263158,-44.511570992344275,4,4.113480091094971,0.11122775077819824,-0.17508453130722046,-0.1753678321838379,0.26866235757968676,4.641342401504517,0.0013557978672906756,38023,15.499999999999996,0.0012794055510312319,-146.0,304,37.84328561221895
0.0005405247211456299,1.564822793006897,-90.3578947368421,-52.247361862480844,5,4.122452020645142,0.11378598213195801,-0.17414841055870056,-0.17360788583755493,0.30402514954495635,4.789536476135254,0.001315607805736363,45564,-30.499999999999975,0.0012772254412993789,-171.49999999999994,304,36.32785383130855
-0.0035433322191238403,1.5618391036987305,-89.9078947368421,-53.500222095706434,6,4.111492156982422,0.11206269264221191,-0.17404817044734955,-0.1775915026664734,0.26561604810375744,4.7874977588653564,0.001314025023020804,53164,-7.0,0.0013149632140994072,-171.0,304,39.652247441309235
0.0056540220975875854,1.561181902885437,-80.93333333333332,-48.782518663237546,7,4.12365984916687,0.11255264282226562,-0.17525941133499146,-0.16960538923740387,0.31633444824650875,4.697608232498169,0.0012682084925472736,60738,-28.499999999999986,0.0013805973576381803,-165.5,312,36.530319920639535
0.0020908862352371216,1.557856798171997,-70.87692307692308,-41.74854738983156,8,4.223238945007324,0.11588644981384277,-0.1716783195734024,-0.16958743333816528,0.2843582655401484,4.941303014755249,0.001379893277771771,68365,-17.499999999999986,0.001067725126631558,-172.5,312,38.22941853879804
-0.002662092447280884,1.5540953874588013,-72.92564102564103,-43.70330879329596,9,4.193687677383423,0.11476302146911621,-0.1731778383255005,-0.17583993077278137,0.25238931971801526,4.874915599822998,0.0010785750346258283,76061,11.90000000000002,0.0012632303405553102,-169.00000000000003,312,37.39319640535694
-0.002185240387916565,1.5535506010055542,-74.98684210526316,-45.233582890619346,10,4.091959238052368,0.11216616630554199,-0.17304369807243347,-0.17522893846035004,0.2773128280463389,4.726392984390259,0.0013056157622486353,83661,-6.500000000000009,0.0013550823787227273,-134.5,304,28.584244565776473
-0.0004111826419830322,1.55267333984375,-64.19736842105262,-37.85098545310213,11,4.213956117630005,0.11517143249511719,-0.1728460192680359,-0.17325720191001892,0.2918476507494551,4.888142824172974,0.0013496102765202522,91261,-22.499999999999993,0.0012857698602601886,-148.0,304,29.611195312105085
-0.002391129732131958,1.5512807369232178,-67.3157894736842,-38.7289872708243,12,4.16062068939209,0.1125631332397461,-0.1736920326948166,-0.17608316242694855,0.27028546408721554,4.791289806365967,0.0012965239584445953,98861,5.999999999999984,0.0013423968339338899,-140.50000000000003,304,33.148672485253854
0.0023786574602127075,1.5521668195724487,-72.6842105263158,-44.84256602704557,13,4.173267841339111,0.1134486198425293,-0.1738392859697342,-0.17146062850952148,0.34703958959468745,4.849004030227661,0.0013444157084450126,106461,-21.5,0.0012672997545450926,-172.00000000000003,304,34.49493117848346
-0.0008414536714553833,1.55276358127594,-64.9736842105263,-37.02055004736181,14,4.171098709106445,0.11241888999938965,-0.17264550924301147,-0.17348696291446686,0.2490769127986213,4.919662714004517,0.001211775466799736,114061,-9.500000000000004,0.001419715234078467,-142.49999999999994,304,32.14194410170485
-0.0013952404260635376,1.550471544265747,-66.6315789473684,-39.939353887273086,15,4.190332889556885,0.11356067657470703,-0.17339760065078735,-0.1747928410768509,0.2620467829860723,4.871980905532837,0.0014555556699633598,121661,14.000000000000002,0.0011745630763471127,-141.5,304,32.41419527616969
0.002438455820083618,1.5514655113220215,-55.9736842105263,-33.6133501981001,16,4.065688848495483,0.11105775833129883,-0.17061001062393188,-0.16817155480384827,0.28522521931263906,4.589544296264648,0.0011315596057102084,129181,7.999999999999994,0.0011893972987309098,-160.49999999999997,304,36.7460967079321
-0.0016404390335083008,1.551960825920105,-54.26578947368421,-31.41039730115122,17,4.199713945388794,0.11420631408691406,-0.17195123434066772,-0.17359167337417603,0.28468817430675475,4.768477201461792,0.0011968421749770641,136747,0.5000000000000098,0.0011247436050325632,-135.00000000000003,304,34.31139350677456
-0.0011328458786010742,1.5471444129943848,-56.29210526315788,-31.34995997281383,18,4.147375106811523,0.11329960823059082,-0.17154809832572937,-0.17268094420433044,0.26804453717219145,4.827974081039429,0.0011398062342777848,144333,-20.5,0.0011946989689022303,-93.99999999999997,304,19.558325479648477
