MinReturn,NumTrajs,PolicyExecTime,StdReturn,KL,AverageReturn,dLoss,MaxReturn,Iteration,LossBefore,Entropy,GradNorm,LossAfter,KLBefore,EnvExecTime,AverageDiscountedReturn,ProcessExecTime,TotalEnvSteps
-88.99999999999999,304,4.148256540298462,22.9426336556676,0.0013755192048847675,-30.223684210526304,0.0014893561601638794,17.5,33,-0.16786633431911469,1.513175129890442,0.34022488384970007,-0.16935569047927856,0.0012747665168717504,4.551096439361572,-14.079873787964397,0.11398649215698242,258187
-92.99999999999997,312,4.216987133026123,23.906224861189205,0.001274885144084692,-33.643589743589736,0.0039637088775634766,6.000000000000012,34,-0.16637352108955383,1.513664722442627,0.2676096263453311,-0.1703372299671173,0.0013540270738303661,4.752455949783325,-17.752155594836697,0.11433720588684082,265833
-59.999999999999986,304,4.179600954055786,12.797836771844729,0.0011652630055323243,-31.789473684210513,-0.00026883184909820557,-0.49999999999998934,35,-0.17117221653461456,1.5088725090026855,0.331634752091556,-0.17090338468551636,0.0012735560303553939,4.7362961769104,-16.776032958465926,0.11398077011108398,273433
-66.0,312,4.195817708969116,18.180180088780375,0.0011570618953555822,-21.405128205128197,-0.001419350504875183,18.20000000000001,36,-0.17010827362537384,1.5112345218658447,0.2796797683126082,-0.16868892312049866,0.001150947529822588,4.564069986343384,-6.703658145418265,0.11362624168395996,281081
-67.99999999999999,304,4.102585554122925,21.501377428014674,0.0011708601377904415,-30.139473684210515,0.0006724298000335693,10.700000000000019,37,-0.16715314984321594,1.5095510482788086,0.3042522224842478,-0.1678255796432495,0.0012103650951758027,4.504591226577759,-14.649650600233791,0.11223554611206055,288619
-69.99999999999996,304,4.17638373374939,17.526261458743033,0.0013178593944758177,-24.644736842105253,-1.3560056686401367e-05,11.000000000000007,38,-0.16749855875968933,1.5077335834503174,0.28425054330044675,-0.16748499870300293,0.0011462620459496975,4.4039294719696045,-9.474283107042398,0.11418676376342773,296219
-91.99999999999999,304,4.193767070770264,20.557685206574966,0.0012786638690158725,-31.49999999999999,0.0020405352115631104,5.999999999999968,39,-0.16824917495250702,1.5089480876922607,0.2923552213931759,-0.17028971016407013,0.0013512002769857645,4.625323057174683,-15.033387594783763,0.11394238471984863,303819
-64.99999999999997,304,4.125563383102417,23.194542324193616,0.0013150247978046536,-24.228947368421043,0.0013533830642700195,19.000000000000014,40,-0.1673995703458786,1.5106767416000366,0.3074464623246499,-0.16875295341014862,0.0012375697260722518,4.525968074798584,-9.296026249487536,0.11217665672302246,311351
-93.49999999999997,312,4.183613538742065,24.89747999679212,0.0013051496353000402,-30.889743589743578,0.0024204403162002563,28.9,41,-0.16819120943546295,1.5109423398971558,0.3201938548937877,-0.1706116497516632,0.001292815082706511,4.628434896469116,-15.444516731229308,0.11429738998413086,318953
-65.49999999999999,304,4.098532438278198,20.527703225714067,0.001243584556505084,-22.039473684210513,-0.002263203263282776,26.000000000000004,42,-0.17089352011680603,1.5092957019805908,0.30050738525819665,-0.16863031685352325,0.0013065894600003958,4.406115770339966,-9.282534489438182,0.1132204532623291,326463
-83.49999999999999,312,4.198178768157959,25.358740762710365,0.0012175515294075012,-24.587179487179476,-0.0021879374980926514,56.09999999999999,43,-0.17087627947330475,1.5122429132461548,0.27310855811014545,-0.1686883419752121,0.0012099611340090632,4.521424770355225,-12.079731399980172,0.11531853675842285,334077
-70.99999999999997,304,4.317136287689209,19.397597625190823,0.0013334957184270024,-22.82894736842104,-0.0035788416862487793,19.99999999999998,44,-0.17440712451934814,1.5095940828323364,0.29918104749732305,-0.17082828283309937,0.0012432176154106855,4.5177483558654785,-8.794125606209354,0.11689305305480957,341677
-59.0,304,4.182006597518921,19.235688819918337,0.0011469174642115831,-23.165789473684196,-0.0008972138166427612,9.999999999999979,45,-0.1694536954164505,1.5114386081695557,0.3264355427001384,-0.16855648159980774,0.0013073853915557265,4.50023341178894,-10.844602922283023,0.11314249038696289,349205
-71.99999999999996,320,4.113241195678711,23.89999790794969,0.0012413576478138566,-15.189999999999987,-0.001173645257949829,53.19999999999998,46,-0.16992519795894623,1.5108506679534912,0.29807724443288375,-0.1687515527009964,0.0011170917423442006,4.378748655319214,-2.432691347730819,0.11402535438537598,356796
