TotalEnvSteps,Iteration,dLoss,PolicyExecTime,GradNorm,StdReturn,MaxReturn,AverageReturn,ProcessExecTime,EnvExecTime,MinReturn,LossAfter,KLBefore,NumTrajs,LossBefore,Entropy,KL,AverageDiscountedReturn
160887,31,-0.003259330987930298,3.1080644130706787,0.4948284548905583,30.406223047264522,-23.999999999999986,-70.53999999999999,0.07498717308044434,4.634509801864624,-166.5,-0.17489852011203766,0.0010536506306380033,300,-0.17815785109996796,1.4959042072296143,0.001064955722540617,-42.47463612955335
165887,32,-0.007173746824264526,2.9958655834198,0.3830005379864234,26.085198868323783,-26.499999999999975,-72.82,0.07292938232421875,4.524540424346924,-119.5,-0.17340335249900818,0.001064614625647664,300,-0.1805770993232727,1.4958412647247314,0.000946239335462451,-43.023451558498685
170887,33,-0.0070653557777404785,3.0580852031707764,0.46384387585223436,30.70276860480175,-8.499999999999982,-71.0,0.07468962669372559,4.66415548324585,-116.0,-0.17304348945617676,0.0009361433912999928,300,-0.18010884523391724,1.4931145906448364,0.001048651640303433,-42.6868750923293
175887,34,-0.0009835809469223022,2.967855930328369,0.4226529076650956,31.954379981467333,1.0000000000000036,-68.74,0.07294511795043945,4.471406936645508,-122.0,-0.17182137072086334,0.0010363439796492457,300,-0.17280495166778564,1.492968201637268,0.0009044820326380432,-39.93788835028641
180887,35,-0.0065733641386032104,3.0317680835723877,0.4218291810973712,31.308145904859973,-9.999999999999968,-77.49999999999999,0.07225847244262695,4.589043855667114,-130.5,-0.17207469046115875,0.0009030706132762134,300,-0.17864805459976196,1.4918639659881592,0.0009520819294266403,-45.422780133847226
185887,36,-0.003742605447769165,3.0578784942626953,0.4188882473585467,39.00027692209378,16.500000000000007,-61.72,0.07430124282836914,4.599717378616333,-181.00000000000003,-0.17200390994548798,0.0009365210426039994,300,-0.17574651539325714,1.494032859802246,0.0011769471457228065,-36.82301423290951
190887,37,-0.007326632738113403,3.0178117752075195,0.4054435632522781,24.913658904303883,-26.499999999999986,-70.86,0.07306218147277832,4.502164363861084,-117.5,-0.17351515591144562,0.0011744818184524775,300,-0.18084178864955902,1.4898794889450073,0.0011827301932498813,-43.77402777025151
195887,38,-0.001227736473083496,3.0815467834472656,0.4508131282701377,31.3446263337115,-17.499999999999986,-70.88,0.07397294044494629,4.704397439956665,-148.0,-0.17129631340503693,0.0011695019202306867,300,-0.17252404987812042,1.4839251041412354,0.0009640005300752819,-39.135376413363026
200887,39,-0.005757838487625122,3.074566602706909,0.46278955463618066,26.03525302354483,-13.999999999999986,-67.66,0.07296299934387207,4.5876219272613525,-108.0,-0.17325738072395325,0.0009647461120039225,300,-0.17901521921157837,1.486141324043274,0.0010658323299139738,-41.3626281263607
205887,40,-0.0013400465250015259,3.055722236633301,0.40399346147403675,19.811107995263665,-18.999999999999993,-64.8,0.07480812072753906,4.6075522899627686,-100.0,-0.17265766859054565,0.0010554875480011106,300,-0.17399771511554718,1.4832547903060913,0.0009608667460270226,-39.17468572054183
210887,41,-0.006356880068778992,3.049691677093506,0.4409785598888035,25.0644449370019,-11.500000000000018,-59.44,0.07375597953796387,4.510836601257324,-127.50000000000001,-0.17109765112400055,0.0009642944787628949,300,-0.17745453119277954,1.484073281288147,0.0009699998772703111,-35.93294160256891
215887,42,-0.00401856005191803,3.006885051727295,0.43428746127170137,27.372950151563867,-3.500000000000014,-59.96,0.07370257377624512,4.527789354324341,-122.00000000000003,-0.17323173582553864,0.0009466118644922972,300,-0.17725029587745667,1.4833370447158813,0.0010420623002573848,-35.57472067971159
220887,43,8.092820644378662e-05,3.03558611869812,0.43451226070433274,21.94597001729475,-25.999999999999996,-62.38,0.07362151145935059,4.5627970695495605,-104.5,-0.1725585162639618,0.0010492249857634306,300,-0.172477588057518,1.4759986400604248,0.0010901640634983778,-39.30555443871762
225887,44,-0.004426613450050354,2.9997599124908447,0.399554904000292,23.25464254724205,-9.499999999999979,-71.96,0.07279062271118164,4.6059041023254395,-119.5,-0.17165403068065643,0.0010728408815339208,300,-0.1760806441307068,1.473618507385254,0.0009623968508094549,-44.38420446089491
230887,45,-0.0029984265565872192,3.0353050231933594,0.4200303241664079,29.709594409887195,-17.499999999999993,-58.0,0.07279396057128906,4.606865644454956,-132.00000000000003,-0.17203682661056519,0.0009626186219975352,300,-0.1750352531671524,1.4721276760101318,0.0010862862691283226,-35.54637926173644
235887,46,-0.0023407042026519775,3.0220792293548584,0.451783342546183,31.29121282405015,-7.999999999999977,-58.1,0.07298111915588379,4.522374153137207,-115.0,-0.16863766312599182,0.0011000854428857565,300,-0.1709783673286438,1.4710055589675903,0.0009392914944328368,-33.73977967807178
240887,47,-0.004859834909439087,3.042095422744751,0.4571124605488449,24.548107870057933,-7.999999999999982,-55.51999999999999,0.07330584526062012,4.587621688842773,-109.0,-0.1730765700340271,0.0009243852691724896,300,-0.1779364049434662,1.475102424621582,0.0010573763865977526,-33.02017308114486
245887,48,-0.0031523406505584717,3.0452377796173096,0.5429088105578653,28.82473937436382,27.500000000000004,-58.37999999999999,0.07323503494262695,4.624516487121582,-121.99999999999999,-0.1739783138036728,0.001085799653083086,300,-0.17713065445423126,1.469744086265564,0.0010480103082954884,-35.18090354854554
250887,49,-0.007889509201049805,3.0828771591186523,0.45870002807130883,27.604448916796002,-24.499999999999986,-58.37999999999999,0.07399320602416992,4.646929740905762,-129.5,-0.17297911643981934,0.0010507531696930528,300,-0.18086862564086914,1.4732716083526611,0.0011347392573952675,-35.34258014887269
255887,50,-0.004453971982002258,2.9998552799224854,0.5370869696053816,25.990259713977466,-17.999999999999986,-55.07999999999999,0.07408714294433594,4.531550884246826,-107.5,-0.17314556241035461,0.0011761480709537864,300,-0.17759953439235687,1.4740467071533203,0.0011282155755907297,-33.083121605008984
260887,51,-0.006273001432418823,2.992001533508301,0.45181162174456374,22.280610404564772,-10.999999999999996,-51.61999999999998,0.0724332332611084,4.490890979766846,-110.49999999999999,-0.17042914032936096,0.0011040876852348447,300,-0.17670214176177979,1.4743356704711914,0.0009185114759020507,-30.461517161991672
265887,52,-0.006017416715621948,3.131960868835449,0.428761288505095,21.52752656484251,-1.9999999999999964,-56.16,0.07498502731323242,4.691795825958252,-106.5,-0.17393621802330017,0.0009230286814272404,300,-0.17995363473892212,1.4739911556243896,0.0008567997138015926,-33.964700404166635
270887,53,-0.004006415605545044,3.094336986541748,0.42838050548205475,20.39574465421648,-27.5,-54.06,0.07335567474365234,4.647873878479004,-106.5,-0.1715429574251175,0.0008296657470054924,300,-0.17554937303066254,1.477498173713684,0.0008961171261034906,-33.48780160198183
275887,54,-0.009541630744934082,3.003399133682251,0.5485799804502317,18.104761804564014,-2.0000000000000124,-47.76,0.0735630989074707,4.514837980270386,-83.0,-0.1748887300491333,0.0009143503266386688,300,-0.18443036079406738,1.4756802320480347,0.0012886722106486559,-28.242426575039257
280887,55,-0.005403563380241394,3.0077407360076904,0.4524674298351125,20.137864832201053,4.000000000000016,-47.91999999999999,0.07326650619506836,4.455707788467407,-100.99999999999999,-0.17349272966384888,0.0012982155894860625,300,-0.17889629304409027,1.4786438941955566,0.0011067561572417617,-28.14472074789946
285887,56,-0.00040721893310546875,3.040635108947754,0.4532249748369023,28.661570089581627,2.000000000000016,-54.11999999999998,0.07313871383666992,4.610404968261719,-138.0,-0.17458157241344452,0.0011195160914212465,300,-0.17498879134655,1.4787397384643555,0.0012181139318272471,-33.563544098865286
290887,57,-0.003689602017402649,3.1147546768188477,0.5136135790525395,31.74943149097319,1.5000000000000107,-49.06,0.07401847839355469,4.633939743041992,-114.0,-0.17414590716362,0.0012014941312372684,300,-0.17783550918102264,1.479689598083496,0.0011783750960603356,-29.906049687671956
295887,58,-0.0013219118118286133,2.93501353263855,0.42864201232521865,27.880502147558246,-1.4999999999999876,-44.75999999999999,0.07226967811584473,4.3631720542907715,-110.0,-0.17361041903495789,0.0011759650660678744,300,-0.1749323308467865,1.4781591892242432,0.0009341405821032822,-25.687211970754426
300887,59,-0.005506575107574463,3.0406157970428467,0.48057970123140137,21.96965179514687,-16.999999999999993,-51.37999999999999,0.07477641105651855,4.544368505477905,-101.49999999999999,-0.1736023873090744,0.0009407506440766156,300,-0.17910896241664886,1.4762197732925415,0.001020285882987082,-32.26660519698758
305887,60,-0.002840384840965271,2.9611988067626953,0.4910561051057138,21.30798911206781,1.5000000000000266,-43.86,0.07258057594299316,4.460207223892212,-82.00000000000001,-0.1735915243625641,0.0010265442542731762,300,-0.17643190920352936,1.478261113166809,0.001078070723451674,-26.116306633065413
310887,61,-0.007160946726799011,2.9601845741271973,0.47302716912317877,29.981994596757573,34.00000000000003,-41.399999999999984,0.07347989082336426,4.363223314285278,-95.5,-0.17320461571216583,0.0010595087660476565,300,-0.18036556243896484,1.4790443181991577,0.0010061117354780436,-23.924289455116845
315887,62,-0.002724394202232361,3.081303596496582,0.39998126037218995,23.72681183808731,-1.4999999999999787,-49.279999999999994,0.0755605697631836,4.633429288864136,-87.5,-0.17416660487651825,0.0010273989755660295,300,-0.1768909990787506,1.4776595830917358,0.0010231900960206985,-31.23435807790397
320887,63,-0.004689306020736694,3.030653953552246,0.4583772527603102,26.82685221937155,15.000000000000025,-45.99999999999999,0.07331252098083496,4.483889102935791,-95.5,-0.1751718670129776,0.0010161000536754727,300,-0.1798611730337143,1.474985957145691,0.0011945669539272785,-27.16888237445276
325887,64,-0.0010527968406677246,3.026057243347168,0.41786321563278733,22.162256202832783,-7.999999999999986,-44.11999999999999,0.07620573043823242,4.511211156845093,-81.99999999999999,-0.17639224231243134,0.001199693069793284,300,-0.17744503915309906,1.4778797626495361,0.0010365479392930865,-27.61905766764161
330887,65,-0.00311984121799469,2.988304615020752,0.45685916191899056,17.752746266423113,0.49999999999998224,-39.89999999999999,0.07337045669555664,4.396542072296143,-73.99999999999999,-0.17428167164325714,0.0010351862292736769,300,-0.17740151286125183,1.4786169528961182,0.0011031971080228686,-24.00393021616717
